 start;   end;        matrix;      unc;
 6s1/2;   6p1/2;      4.5036;      0.0144;
 6s1/2;   6p3/2;      6.3349;      0.0095;
 6s1/2;   7p1/2;      0.2757;      0.0022;
 6s1/2;   7p3/2;      0.5860;      0.0047;
 7p1/2;   7s1/2;     10.3080;      0.0103;
 7p3/2;   7s1/2;     14.3200;      0.0143;
 6s1/2;   8p1/2;      0.0907;      0.0094;
 6s1/2;   9p1/2;      0.0423;      0.0062;
 6s1/2;  10p1/2;      0.0243;      0.0045;
 6s1/2;  11p1/2;      0.0159;      0.0036;
 6s1/2;  12p1/2;      0.0113;      0.0030;
 6s1/2;   8p3/2;      0.2319;      0.0143;
 6s1/2;   9p3/2;      0.1297;      0.0096;
 6s1/2;  10p3/2;      0.0860;      0.0071;
 6s1/2;  11p3/2;      0.0627;      0.0056;
 6s1/2;  12p3/2;      0.0486;      0.0046;
 7p1/2;   8s1/2;      9.3125;      0.0233;
 7p1/2;   9s1/2;      1.9591;      0.0178;
 7p1/2;  10s1/2;      0.9991;      0.0095;
 7p1/2;  11s1/2;      0.6504;      0.0062;
 7p1/2;  12s1/2;      0.4742;      0.0046;
 7p1/2;   5d3/2;      2.2847;      0.4439;
 7p1/2;   6d3/2;     17.9885;      0.0450;
 7p1/2;   7d3/2;      6.5517;      0.2214;
 7p1/2;   8d3/2;      3.1655;      0.0601;
 7p1/2;   9d3/2;      2.0071;      0.0291;
 7p1/2;  10d3/2;      1.4400;      0.0176;
 7p1/2;  11d3/2;      1.1081;      0.0119;
 7p1/2;  12d3/2;      0.8984;      0.0505;
 7p3/2;   8s1/2;     14.0659;      0.0675;
 7p3/2;   9s1/2;      2.7273;      0.0278;
 7p3/2; 10s1/2;      1.3707;      0.0151;
 7p3/2;  11s1/2;      0.8873;      0.0100;
 7p3/2;  12s1/2;      0.6450;      0.0073;
 7p3/2;   5d3/2;      0.9147;      0.1932;
 7p3/2;  6d3/2;      8.0739;      0.0210;
 7p3/2;   7d3/2;      3.3150;      0.1057;
 7p3/2;   8d3/2;      1.5333;      0.0255;
 7p3/2;   9d3/2;      0.9564;      0.0113;
 7p3/2;  10d3/2;      0.6804;      0.0065;
 7p3/2;  11d3/2;      0.5209;      0.0053;
 7p3/2;  12d3/2;      0.4218;      0.0187;
 7p3/2;   5d5/2;      2.8098;      0.4841;
 7p3/2;   6d5/2;     24.3535;      0.0584;
 7p3/2;   7d5/2;      9.6417;      0.2941;
 7p3/2;   8d5/2;      4.5164;      0.0736;
 7p3/2;   9d5/2;      2.8300;      0.0337;
 7p3/2;  10d5/2;      2.0180;      0.0194;
 7p3/2;  11d5/2;      1.5473;      0.0127;
 7p3/2; 12d5/2;      1.2546;      0.0660;
