Ba2 
  1,  6s1/2,  6s<sub>1/2</sub>, 1/2
  2,  7s1/2,  7s<sub>1/2</sub>, 1/2
  3,  8s1/2,  8s<sub>1/2</sub>, 1/2
  4,  9s1/2,  9s<sub>1/2</sub>, 1/2
  5, 10s1/2, 10s<sub>1/2</sub>, 1/2
  6, 11s1/2, 11s<sub>1/2</sub>, 1/2
  7, 12s1/2, 12s<sub>1/2</sub>, 1/2
  8, 13s1/2, 13s<sub>1/2</sub>, 1/2
  9, 14s1/2, 14s<sub>1/2</sub>, 1/2
 10,  6p1/2,  6p<sub>1/2</sub>, 1/2
 11,  6p3/2,  6p<sub>3/2</sub>, 3/2
 12,  7p1/2,  7p<sub>1/2</sub>, 1/2
 13,  7p3/2,  7p<sub>3/2</sub>, 3/2
 14,  8p1/2,  8p<sub>1/2</sub>, 1/2
 15,  8p3/2,  8p<sub>3/2</sub>, 3/2
 16,  9p1/2,  9p<sub>1/2</sub>, 1/2
 17,  9p3/2,  9p<sub>3/2</sub>, 3/2
 18, 10p1/2, 10p<sub>1/2</sub>, 1/2
 19, 10p3/2, 10p<sub>3/2</sub>, 3/2
 20, 11p1/2, 11p<sub>1/2</sub>, 1/2
 21, 11p3/2, 11p<sub>3/2</sub>, 3/2
 22, 12p1/2, 12p<sub>1/2</sub>, 1/2
 23, 12p3/2, 12p<sub>3/2</sub>, 3/2
 24, 13p1/2, 13p<sub>1/2</sub>, 1/2
 25, 13p3/2, 13p<sub>3/2</sub>, 3/2
 26, 14p1/2, 14p<sub>1/2</sub>, 1/2
 27, 14p3/2, 14p<sub>3/2</sub>, 3/2
 28,  5d3/2,  5d<sub>3/2</sub>, 3/2
 29,  5d5/2,  5d<sub>5/2</sub>, 5/2
 30,  6d3/2,  6d<sub>3/2</sub>, 3/2
 31,  6d5/2,  6d<sub>5/2</sub>, 5/2
 32,  7d3/2,  7d<sub>3/2</sub>, 3/2
 33,  7d5/2,  7d<sub>5/2</sub>, 5/2
 34,  8d3/2,  8d<sub>3/2</sub>, 3/2
 35,  8d5/2,  8d<sub>5/2</sub>, 5/2
 36,  9d3/2,  9d<sub>3/2</sub>, 3/2
 37,  9d5/2,  9d<sub>5/2</sub>, 5/2
 38, 10d3/2, 10d<sub>3/2</sub>, 3/2
 39, 10d5/2, 10d<sub>5/2</sub>, 5/2
 40, 11d3/2, 11d<sub>3/2</sub>, 3/2
 41, 11d5/2, 11d<sub>5/2</sub>, 5/2
 42, 12d3/2, 12d<sub>3/2</sub>, 3/2
 43, 12d5/2, 12d<sub>5/2</sub>, 5/2
 44, 13d3/2, 13d<sub>3/2</sub>, 3/2
 45, 13d5/2, 13d<sub>5/2</sub>, 5/2
 46,  4f5/2,  4f<sub>5/2</sub>, 5/2
 47,  4f7/2,  4f<sub>7/2</sub>, 7/2
 48,  5f5/2,  5f<sub>5/2</sub>, 5/2
 49,  5f7/2,  5f<sub>7/2</sub>, 7/2
 50,  6f5/2,  6f<sub>5/2</sub>, 5/2
 51,  6f7/2,  6f<sub>7/2</sub>, 7/2
 52,  7f5/2,  7f<sub>5/2</sub>, 5/2
 53,  7f7/2,  7f<sub>7/2</sub>, 7/2
 54,  8f5/2,  8f<sub>5/2</sub>, 5/2
 55,  8f7/2,  8f<sub>7/2</sub>, 7/2
 56,  9f5/2,  9f<sub>5/2</sub>, 5/2
 57,  9f7/2,  9f<sub>7/2</sub>, 7/2
 58, 10f5/2, 10f<sub>5/2</sub>, 5/2
 59, 10f7/2, 10f<sub>7/2</sub>, 7/2
 60, 11f5/2, 11f<sub>5/2</sub>, 5/2
 61, 11f7/2, 11f<sub>7/2</sub>, 7/2
 62, 12f5/2, 12f<sub>5/2</sub>, 5/2
 63, 12f7/2, 12f<sub>7/2</sub>, 7/2
