Ba2 
 Key, State,    Total rate  ,      Lifetime  , Ref.   ,   Total rate ,    Unc   ,   Lifetime,      Unc  , Unc %
  2,  7s1/2, 1.955(13)E+08  ,      5.116(35) ,        ,   1.9546E+08,   1.3E+06,      5.116,     0.035 ,  0.69
  3,  8s1/2, 1.2211(52)E+08 ,      8.189(35) ,        ,   1.2211E+08,   5.2E+05,      8.189,     0.035 ,  0.43
  4,  9s1/2, 7.487(34)E+07  ,     13.356(60) ,        ,   7.4872E+07,   3.4E+05,     13.356,     0.060 ,  0.45
  5, 10s1/2, 4.808(20)E+07  ,     20.800(88) ,        ,   4.8076E+07,   2.0E+05,     20.800,     0.088 ,  0.42
  6, 11s1/2, 3.238(13)E+07  ,      30.88(13) ,        ,   3.2383E+07,   1.3E+05,      30.88,      0.13 ,  0.41
  7, 12s1/2, 2.2747(90)E+07 ,      43.96(17) ,        ,   2.2747E+07,   9.0E+04,      43.96,      0.17 ,  0.39
  8, 13s1/2, 1.6626(25)E+07 ,     60.145(90) ,        ,   1.6626E+07,   2.5E+04,     60.145,     0.090 ,  0.15
  9, 14s1/2, 1.2438(18)E+07 ,      80.40(11) ,        ,   1.2438E+07,   1.8E+04,      80.40,      0.11 ,  0.14
 10,  6p1/2, 1.2731(13)E+08 ,       7.855(10), E77    ,   1.2731E+08,   1.3E+05,      7.855,     0.010 ,  0.10
 12,  7p1/2, 2.79(13)E+07   ,       35.9(16) ,        ,   2.7870E+07,   1.3E+06,       35.9,       1.6 ,  4.53
 14,  8p1/2, 1.11(13)E+07   ,          90(11),        ,   1.1059E+07,   1.3E+06,        90 ,       11  , 12.17
 16,  9p1/2, 5.8(10)E+06    ,         174(30),        ,   5.7595E+06,   1.0E+06,       174 ,       30  , 17.52
 18, 10p1/2, 3.47(72)E+06   ,         288(60),        ,   3.4748E+06,   7.2E+05,       288 ,       60  , 20.78
 20, 11p1/2, 2.29(52)E+06   ,         437(99),        ,   2.2883E+06,   5.2E+05,       437 ,       99  , 22.76
 22, 12p1/2, 1.60(38)E+06   ,        630(150),        ,   1.5998E+06,   3.8E+05,       625 ,      150  , 23.95
 24, 13p1/2, 1.17(29)E+06   ,        860(210),        ,   1.1678E+06,   2.9E+05,       856 ,      211  , 24.67
 26, 14p1/2, 8.8(22)E+05    ,       1140(290),        ,   8.7887E+05,   2.2E+05,      1138 ,      286  , 25.17
 11,  6p3/2, 1.5971(14)E+08 ,      6.2615(72), E78    ,   1.5971E+08,   1.4E+05,     6.2615,    0.0072 ,  0.09
 13,  7p3/2, 3.67(13)E+07   ,      27.26(96) ,        ,   3.6687E+07,   1.3E+06,      27.26,      0.96 ,  3.51
 15,  8p3/2, 1.373(95)E+07  ,       72.8(51) ,        ,   1.3727E+07,   9.5E+05,       72.8,       5.1 ,  6.94
 17,  9p3/2, 6.60(71)E+06   ,         151(16),        ,   6.6042E+06,   7.1E+05,       151 ,       16  , 10.80
 19, 10p3/2, 3.71(52)E+06   ,         269(37),        ,   3.7135E+06,   5.2E+05,       269 ,       37  , 13.92
 21, 11p3/2, 2.31(38)E+06   ,         432(70),        ,   2.3131E+06,   3.8E+05,       432 ,       70  , 16.29
 23, 12p3/2, 1.55(28)E+06   ,        650(120),        ,   1.5466E+06,   2.8E+05,       647 ,      117  , 18.06
 25, 13p3/2, 1.09(21)E+06   ,        920(180),        ,   1.0884E+06,   2.1E+05,       919 ,      178  , 19.41
 27, 14p3/2, 8.0(16)E+05    ,       1260(260),        ,   7.9623E+05,   1.6E+05,      1256 ,      257  , 20.47
 30,  6d3/2, 2.398(45)E+08  ,      4.170(79) ,        ,   2.3982E+08,   4.5E+06,      4.170,     0.079 ,  1.89
 32,  7d3/2, 1.226(24)E+08  ,       8.16(16) ,        ,   1.2262E+08,   2.4E+06,       8.16,      0.16 ,  1.96
 34,  8d3/2, 6.89(17)E+07   ,      14.52(35) ,        ,   6.8858E+07,   1.7E+06,      14.52,      0.35 ,  2.43
 36,  9d3/2, 4.072(89)E+07  ,      24.56(54) ,        ,   4.0717E+07,   8.9E+05,      24.56,      0.54 ,  2.19
 38, 10d3/2, 2.67(11)E+07   ,       37.4(16) ,        ,   2.6740E+07,   1.1E+06,       37.4,       1.6 ,  4.22
 40, 11d3/2, 1.898(87)E+07  ,       52.7(24) ,        ,   1.8975E+07,   8.7E+05,       52.7,       2.4 ,  4.61
 42, 12d3/2, 1.338(50)E+07  ,       74.8(28) ,        ,   1.3378E+07,   5.0E+05,       74.8,       2.8 ,  3.77
 44, 13d3/2, 9.98(38)E+06   ,      100.2(38) ,        ,   9.9849E+06,   3.8E+05,      100.2,       3.8 ,  3.76
 31,  6d5/2, 2.264(76)E+08  ,       4.42(15) ,        ,   2.2638E+08,   7.6E+06,       4.42,      0.15 ,  3.37
 33,  7d5/2, 1.141(25)E+08  ,       8.77(19) ,        ,   1.1408E+08,   2.5E+06,       8.77,      0.19 ,  2.20
 35,  8d5/2, 6.34(17)E+07   ,      15.76(41) ,        ,   6.3450E+07,   1.7E+06,      15.76,      0.41 ,  2.62
 37,  9d5/2, 3.753(88)E+07  ,      26.65(62) ,        ,   3.7526E+07,   8.8E+05,      26.65,      0.62 ,  2.34
 39, 10d5/2, 2.435(63)E+07  ,       41.1(11) ,        ,   2.4348E+07,   6.3E+05,       41.1,       1.1 ,  2.57
 41, 11d5/2, 1.716(83)E+07  ,       58.3(28) ,        ,   1.7165E+07,   8.3E+05,       58.3,       2.8 ,  4.82
 43, 12d5/2, 1.247(57)E+07  ,       80.2(37) ,        ,   1.2470E+07,   5.7E+05,       80.2,       3.7 ,  4.60
 45, 13d5/2, 9.08(40)E+06   ,      110.1(49) ,        ,   9.0787E+06,   4.0E+05,      110.1,       4.9 ,  4.43
