Be2 
 Key, State,    Total rate  ,      Lifetime  , Ref.   ,   Total rate ,    Unc   ,   Lifetime,      Unc  , Unc %
  2,  3s1/2, 4.0824(30)E+08 ,     2.4495(18) ,        ,   4.0824E+08,   3.0E+05,     2.4495,    0.0018 ,  0.07
  3,  4s1/2, 2.3954(13)E+08 ,     4.1746(22) ,        ,   2.3954E+08,   1.3E+05,     4.1746,    0.0022 ,  0.05
  4,  5s1/2, 1.39054(63)E+08,     7.1915(33) ,        ,   1.3905E+08,   6.3E+04,     7.1915,    0.0033 ,  0.05
  5,  6s1/2, 8.5611(35)E+07 ,    11.6807(48) ,        ,   8.5611E+07,   3.5E+04,    11.6807,    0.0048 ,  0.04
  6,  7s1/2, 5.5825(21)E+07 ,    17.9132(69) ,        ,   5.5825E+07,   2.1E+04,    17.9132,    0.0069 ,  0.04
  7,  8s1/2, 3.8203(14)E+07 ,    26.1760(96) ,        ,   3.8203E+07,   1.4E+04,    26.1760,    0.0096 ,  0.04
  8,  9s1/2, 2.72021(97)E+07,     36.762(13) ,        ,   2.7202E+07,   9.7E+03,     36.762,     0.013 ,  0.04
  9, 10s1/2, 2.00142(70)E+07,     49.964(17) ,        ,   2.0014E+07,   7.0E+03,     49.964,     0.017 ,  0.03
 10,  2p1/2, 1.1293(11)E+08 ,     8.8553(89) ,        ,   1.1293E+08,   1.1E+05,     8.8553,    0.0089 ,  0.10
 12,  3p1/2, 1.8458(17)E+08 ,     5.4176(51) ,        ,   1.8458E+08,   1.7E+05,     5.4176,    0.0051 ,  0.09
 14,  4p1/2, 1.23818(99)E+08,     8.0764(65) ,        ,   1.2382E+08,   9.9E+04,     8.0764,    0.0065 ,  0.08
 16,  5p1/2, 7.7423(56)E+07 ,    12.9161(94) ,        ,   7.7423E+07,   5.6E+04,    12.9161,    0.0094 ,  0.07
 18,  6p1/2, 4.9910(35)E+07 ,     20.036(14) ,        ,   4.9910E+07,   3.5E+04,     20.036,     0.014 ,  0.07
 20,  7p1/2, 3.3584(27)E+07 ,     29.776(24) ,        ,   3.3584E+07,   2.7E+04,     29.776,     0.024 ,  0.08
 22,  8p1/2, 2.3509(22)E+07 ,     42.537(40) ,        ,   2.3509E+07,   2.2E+04,     42.537,     0.040 ,  0.09
 24,  9p1/2, 1.7028(19)E+07 ,     58.728(64) ,        ,   1.7028E+07,   1.9E+04,     58.728,     0.064 ,  0.11
 26, 10p1/2, 1.2696(16)E+07 ,     78.762(96) ,        ,   1.2696E+07,   1.6E+04,     78.762,     0.096 ,  0.12
 11,  2p3/2, 1.1301(11)E+08 ,     8.8492(89) ,        ,   1.1301E+08,   1.1E+05,     8.8492,    0.0089 ,  0.10
 13,  3p3/2, 1.8450(17)E+08 ,     5.4202(51) ,        ,   1.8450E+08,   1.7E+05,     5.4202,    0.0051 ,  0.09
 15,  4p3/2, 1.23764(99)E+08,     8.0799(65) ,        ,   1.2376E+08,   9.9E+04,     8.0799,    0.0065 ,  0.08
 17,  5p3/2, 7.7390(56)E+07 ,    12.9216(94) ,        ,   7.7390E+07,   5.6E+04,    12.9216,    0.0094 ,  0.07
 19,  6p3/2, 4.9890(35)E+07 ,     20.044(14) ,        ,   4.9890E+07,   3.5E+04,     20.044,     0.014 ,  0.07
 21,  7p3/2, 3.3571(27)E+07 ,     29.788(24) ,        ,   3.3571E+07,   2.7E+04,     29.788,     0.024 ,  0.08
 23,  8p3/2, 2.3500(22)E+07 ,     42.553(40) ,        ,   2.3500E+07,   2.2E+04,     42.553,     0.040 ,  0.09
 25,  9p3/2, 1.7022(19)E+07 ,     58.749(65) ,        ,   1.7022E+07,   1.9E+04,     58.749,     0.065 ,  0.11
 27, 10p3/2, 1.2692(16)E+07 ,     78.790(96) ,        ,   1.2692E+07,   1.6E+04,     78.790,     0.096 ,  0.12
 28,  3d3/2, 1.10594(94)E+09,    0.90421(77) ,        ,   1.1059E+09,   9.4E+05,    0.90421,   0.00077 ,  0.08
 30,  4d3/2, 4.8400(33)E+08 ,     2.0661(14) ,        ,   4.8400E+08,   3.3E+05,     2.0661,    0.0014 ,  0.07
 32,  5d3/2, 2.5369(85)E+08 ,      3.942(13) ,        ,   2.5369E+08,   8.5E+05,      3.942,     0.013 ,  0.33
 34,  6d3/2, 1.4919(39)E+08 ,      6.703(17) ,        ,   1.4919E+08,   3.9E+05,      6.703,     0.017 ,  0.26
 36,  7d3/2, 9.503(21)E+07  ,     10.523(23) ,        ,   9.5033E+07,   2.1E+05,     10.523,     0.023 ,  0.22
 38,  8d3/2, 6.421(13)E+07  ,     15.575(31) ,        ,   6.4206E+07,   1.3E+05,     15.575,     0.031 ,  0.20
 40,  9d3/2, 4.5387(84)E+07 ,     22.033(41) ,        ,   4.5387E+07,   8.4E+04,     22.033,     0.041 ,  0.19
 42, 10d3/2, 3.3256(59)E+07 ,     30.069(53) ,        ,   3.3256E+07,   5.9E+04,     30.069,     0.053 ,  0.18
 29,  3d5/2, 1.1059(11)E+09 ,    0.90426(90) ,        ,   1.1059E+09,   1.1E+06,    0.90426,   0.00090 ,  0.10
 31,  4d5/2, 4.8397(39)E+08 ,     2.0662(17) ,        ,   4.8397E+08,   3.9E+05,     2.0662,    0.0017 ,  0.08
 33,  5d5/2, 2.537(10)E+08  ,      3.942(16) ,        ,   2.5367E+08,   1.0E+06,      3.942,     0.016 ,  0.39
 35,  6d5/2, 1.4918(46)E+08 ,      6.703(20) ,        ,   1.4918E+08,   4.6E+05,      6.703,     0.020 ,  0.31
 37,  7d5/2, 9.503(25)E+07  ,     10.523(27) ,        ,   9.5028E+07,   2.5E+05,     10.523,     0.027 ,  0.26
 39,  8d5/2, 6.420(15)E+07  ,     15.576(37) ,        ,   6.4203E+07,   1.5E+05,     15.576,     0.037 ,  0.23
 41,  9d5/2, 4.5384(99)E+07 ,     22.034(48) ,        ,   4.5384E+07,   9.9E+04,     22.034,     0.048 ,  0.22
 43, 10d5/2, 3.3255(69)E+07 ,     30.071(62) ,        ,   3.3255E+07,   6.9E+04,     30.071,     0.062 ,  0.21
