Ca2 
  Keys,,    Transition,,        Wavelength   ,          Matrix el. ,       ,       Br. ratio,     Tran. rate   ,     Wavelength,       Unc  ,  Unc %,  Matrix el.,       Unc  ,   Unc %,      Br. ratio,          Unc  ,   Unc %,  Tran. rate,    Unc  ,  Unc %
  2,  10,  5s1/2,  4p1/2,        370.708(1)  ,          2.0737(96) ,        ,      0.3340(29),  8.551(79)E+07  ,        370.708,       0.001,   0.00,      2.0737,      0.0096,    0.46,         0.3340,         0.0029,    0.86,  8.5512E+07,  7.9E+05,    0.92
  2,  11,  5s1/2,  4p3/2,        373.796(1)  ,           2.965(13) ,        ,      0.6660(29),  1.705(15)E+08  ,        373.796,       0.001,   0.00,       2.965,       0.013,    0.45,         0.6660,         0.0029,    0.43,  1.7050E+08,  1.5E+06,    0.91
  3,  10,  6s1/2,  4p1/2,       219.8473(3)  ,          0.5818(11) ,        ,     0.20622(68),  3.227(12)E+07  ,       219.8473,      0.0003,   0.00,      0.5818,      0.0011,    0.18,        0.20622,        0.00068,    0.33,  3.2271E+07,  1.2E+05,    0.36
  3,  11,  6s1/2,  4p3/2,       220.9299(3)  ,          0.8264(15) ,        ,     0.41003(95),  6.416(24)E+07  ,       220.9299,      0.0003,   0.00,      0.8264,      0.0015,    0.18,        0.41003,        0.00095,    0.23,  6.4163E+07,  2.4E+05,    0.37
  3,  12,  6s1/2,  5p1/2,        985.746(7)  ,          4.3560(31) ,        ,     0.12825(27),  2.0069(29)E+07 ,        985.746,       0.007,   0.00,      4.3560,      0.0031,    0.07,        0.12825,        0.00027,    0.21,  2.0069E+07,  2.9E+04,    0.14
  3,  13,  6s1/2,  5p3/2,        993.410(7)  ,          6.2202(43) ,        ,     0.25550(51),  3.9982(56)E+07 ,        993.410,       0.007,   0.00,      6.2202,      0.0043,    0.07,        0.25550,        0.00051,    0.20,  3.9982E+07,  5.6E+04,    0.14
  4,  10,  7s1/2,  4p1/2,       184.3088(2)  ,         0.31832(65) ,        ,     0.17423(64),  1.6396(67)E+07 ,       184.3088,      0.0002,   0.00,     0.31832,     0.00065,    0.20,        0.17423,        0.00064,    0.37,  1.6396E+07,  6.7E+04,    0.41
  4,  11,  7s1/2,  4p3/2,       185.0691(2)  ,         0.45152(92) ,        ,     0.34625(98),  3.258(13)E+07  ,       185.0691,      0.0002,   0.00,     0.45152,     0.00092,    0.20,        0.34625,        0.00098,    0.28,  3.2583E+07,  1.3E+05,    0.41
  4,  12,  7s1/2,  5p1/2,        528.674(2)  ,          1.1060(16) ,        ,     0.08913(28),  8.387(24)E+06  ,        528.674,       0.002,   0.00,      1.1060,      0.0016,    0.15,        0.08913,        0.00028,    0.31,  8.3868E+06,  2.4E+04,    0.29
  4,  13,  7s1/2,  5p3/2,        530.870(2)  ,          1.5680(23) ,        ,     0.17692(52),  1.6648(49)E+07 ,        530.870,       0.002,   0.00,      1.5680,      0.0023,    0.15,        0.17692,        0.00052,    0.29,  1.6648E+07,  4.9E+04,    0.29
  4,  14,  7s1/2,  6p1/2,        2014.76(3)  ,          7.3628(47) ,        ,     0.07136(15),  6.7151(86)E+06 ,        2014.76,        0.03,   0.00,      7.3628,      0.0047,    0.06,        0.07136,        0.00015,    0.21,  6.7151E+06,  8.6E+03,    0.13
  4,  15,  7s1/2,  6p3/2,        2029.83(3)  ,         10.5071(66) ,        ,     0.14211(28),  1.3373(17)E+07 ,        2029.83,        0.03,   0.00,     10.5071,      0.0066,    0.06,        0.14211,        0.00028,    0.20,  1.3373E+07,  1.7E+04,    0.13
  5,  10,  8s1/2,  4p1/2,       169.1779(2)  ,         0.21340(45) ,        ,     0.16021(62),  9.528(40)E+06  ,       169.1779,      0.0002,   0.00,     0.21340,     0.00045,    0.21,        0.16021,        0.00062,    0.39,  9.5283E+06,  4.0E+04,    0.42
  5,  11,  8s1/2,  4p3/2,       169.8182(2)  ,         0.30252(63) ,        ,     0.31832(98),  1.8932(79)E+07 ,       169.8182,      0.0002,   0.00,     0.30252,     0.00063,    0.21,        0.31832,        0.00098,    0.31,  1.8932E+07,  7.9E+04,    0.42
  5,  12,  8s1/2,  5p1/2,        420.736(1)  ,          0.5831(10) ,        ,     0.07776(28),  4.625(16)E+06  ,        420.736,       0.001,   0.00,      0.5831,      0.0010,    0.18,        0.07776,        0.00028,    0.37,  4.6246E+06,  1.6E+04,    0.35
  5,  13,  8s1/2,  5p3/2,        422.126(1)  ,          0.8253(15) ,        ,     0.15426(53),  9.174(33)E+06  ,        422.126,       0.001,   0.00,      0.8253,      0.0015,    0.18,        0.15426,        0.00053,    0.34,  9.1744E+06,  3.3E+04,    0.36
  5,  14,  8s1/2,  6p1/2,       1018.748(7)  ,          1.7744(27) ,        ,     0.05072(17),  3.0168(93)E+06 ,       1018.748,       0.007,   0.00,      1.7744,      0.0027,    0.15,        0.05072,        0.00017,    0.34,  3.0168E+06,  9.3E+03,    0.31
  5,  15,  8s1/2,  6p3/2,       1022.585(7)  ,          2.5129(39) ,        ,     0.10059(33),  5.983(19)E+06  ,       1022.585,       0.007,   0.00,      2.5129,      0.0039,    0.16,        0.10059,        0.00033,    0.33,  5.9828E+06,  1.9E+04,    0.31
  5,  16,  8s1/2,  7p1/2,           3567(6)  , *       11.0941(63) ,        ,     0.04618(25),  2.747(15)E+06  ,          3567 ,          6 ,   0.18,     11.0941,      0.0063,    0.06,        0.04618,        0.00025,    0.55,  2.7466E+06,  1.5E+04,    0.55
  5,  17,  8s1/2,  7p3/2,           3593(6)  , *       15.8248(81) ,        ,     0.09196(48),  5.469(30)E+06  ,          3593 ,          6 ,   0.18,     15.8248,      0.0081,    0.05,        0.09196,        0.00048,    0.53,  5.4691E+06,  3.0E+04,    0.55
  6,  10,  9s1/2,  4p1/2,       161.0919(2)  ,          0.1578(16) ,        ,      0.1525(27),  6.04(12)E+06   ,       161.0919,      0.0002,   0.00,      0.1578,      0.0016,    1.00,         0.1525,         0.0027,    1.80,  6.0367E+06,  1.2E+05,    2.00
  6,  11,  9s1/2,  4p3/2,       161.6724(2)  ,          0.2237(22) ,        ,      0.3030(43),  1.199(24)E+07  ,       161.6724,      0.0002,   0.00,      0.2237,      0.0022,    1.00,         0.3030,         0.0043,    1.43,  1.1993E+07,  2.4E+05,    2.00
  6,  12,  9s1/2,  5p1/2,        374.044(1)  ,         0.38436(66) ,        ,     0.07224(54),  2.8599(98)E+06 ,        374.044,       0.001,   0.00,     0.38436,     0.00066,    0.17,        0.07224,        0.00054,    0.75,  2.8599E+06,  9.8E+03,    0.34
  6,  13,  9s1/2,  5p3/2,        375.142(1)  ,         0.54371(95) ,        ,      0.1433(11),  5.673(20)E+06  ,        375.142,       0.001,   0.00,     0.54371,     0.00095,    0.17,         0.1433,         0.0011,    0.74,  5.6726E+06,  2.0E+04,    0.35
  6,  14,  9s1/2,  6p1/2,        782.293(4)  ,          0.9136(15) ,        ,     0.04461(34),  1.7662(60)E+06 ,        782.293,       0.004,   0.00,      0.9136,      0.0015,    0.17,        0.04461,        0.00034,    0.76,  1.7662E+06,  6.0E+03,    0.34
  6,  15,  9s1/2,  6p3/2,        784.553(4)  ,          1.2917(22) ,        ,     0.08841(66),  3.500(12)E+06  ,        784.553,       0.004,   0.00,      1.2917,      0.0022,    0.17,        0.08841,        0.00066,    0.75,  3.5001E+06,  1.2E+04,    0.34
  6,  16,  9s1/2,  7p1/2,           1733(2)  , *        2.5917(40) ,        ,     0.03302(26),  1.3073(53)E+06 ,          1733 ,          2 ,   0.09,      2.5917,      0.0040,    0.16,        0.03302,        0.00026,    0.79,  1.3073E+06,  5.3E+03,    0.40
  6,  17,  9s1/2,  7p3/2,           1739(2)  , *        3.6681(57) ,        ,     0.06546(51),  2.591(11)E+06  ,          1739 ,          2 ,   0.09,      3.6681,      0.0057,    0.16,        0.06546,        0.00051,    0.78,  2.5914E+06,  1.1E+04,    0.41
  6,  18,  9s1/2,  8p1/2,          5750(10)  , *        15.568(12) ,        ,     0.03260(32),  1.2907(91)E+06 ,          5751 ,         13 ,   0.23,      15.568,       0.012,    0.08,        0.03260,        0.00032,    0.97,  1.2907E+06,  9.1E+03,    0.71
  6,  19,  9s1/2,  8p3/2,          5790(10)  , *        22.201(15) ,        ,     0.06491(62),  2.570(18)E+06  ,          5792 ,         13 ,   0.23,      22.201,       0.015,    0.07,        0.06491,        0.00062,    0.95,  2.5697E+06,  1.8E+04,    0.71
  7,  10, 10s1/2,  4p1/2,       156.1948(2)  ,          0.1237(12) ,        ,      0.1478(27),  4.068(81)E+06  ,       156.1948,      0.0002,   0.00,      0.1237,      0.0012,    1.00,         0.1478,         0.0027,    1.81,  4.0677E+06,  8.1E+04,    2.00
  7,  11, 10s1/2,  4p3/2,       156.7405(2)  ,          0.1753(18) ,        ,      0.2936(42),  8.08(16)E+06   ,       156.7405,      0.0002,   0.00,      0.1753,      0.0018,    1.00,         0.2936,         0.0042,    1.45,  8.0812E+06,  1.6E+05,    2.00
  7,  12, 10s1/2,  5p1/2,       348.6615(9)  ,         0.28202(69) ,        ,     0.06906(56),  1.9010(94)E+06 ,       348.6615,      0.0009,   0.00,     0.28202,     0.00069,    0.25,        0.06906,        0.00056,    0.81,  1.9010E+06,  9.4E+03,    0.49
  7,  13, 10s1/2,  5p3/2,       349.6155(9)  ,          0.3988(10) ,        ,      0.1370(11),  3.770(19)E+06  ,       349.6155,      0.0009,   0.00,      0.3988,      0.0010,    0.25,         0.1370,         0.0011,    0.79,  3.7702E+06,  1.9E+04,    0.50
  7,  14, 10s1/2,  6p1/2,        678.923(3)  ,          0.5946(10) ,        ,     0.04158(31),  1.1445(40)E+06 ,        678.923,       0.003,   0.00,      0.5946,      0.0010,    0.17,        0.04158,        0.00031,    0.74,  1.1445E+06,  4.0E+03,    0.35
  7,  15, 10s1/2,  6p3/2,        680.625(3)  ,          0.8401(15) ,        ,     0.08237(61),  2.2676(80)E+06 ,        680.625,       0.003,   0.00,      0.8401,      0.0015,    0.18,        0.08237,        0.00061,    0.74,  2.2676E+06,  8.0E+03,    0.35
  7,  16, 10s1/2,  7p1/2,         1295.9(8)  , *        1.3118(21) ,        ,     0.02910(22),  8.010(30)E+05  ,         1295.9,         0.8,   0.06,      1.3118,      0.0021,    0.16,        0.02910,        0.00022,    0.76,  8.0098E+05,  3.0E+03,    0.37
  7,  17, 10s1/2,  7p3/2,         1299.3(8)  , *        1.8533(30) ,        ,     0.05763(43),  1.5863(60)E+06 ,         1299.3,         0.8,   0.06,      1.8533,      0.0030,    0.16,        0.05763,        0.00043,    0.75,  1.5863E+06,  6.0E+03,    0.38
  7,  18, 10s1/2,  8p1/2,           2714(3)  , *        3.5510(49) ,        ,     0.02322(18),  6.392(27)E+05  ,          2714 ,          3 ,   0.11,      3.5510,      0.0049,    0.14,        0.02322,        0.00018,    0.78,  6.3921E+05,  2.7E+03,    0.43
  7,  19, 10s1/2,  8p3/2,           2723(3)  , *        5.0234(70) ,        ,     0.04601(36),  1.2665(54)E+06 ,          2723 ,          3 ,   0.11,      5.0234,      0.0070,    0.14,        0.04601,        0.00036,    0.78,  1.2665E+06,  5.4E+03,    0.43
  7,  20, 10s1/2,  9p1/2,          8670(20)  , *        20.771(12) ,        ,     0.02433(25),  6.698(53)E+05  ,          8674 ,         23 ,   0.26,      20.771,       0.012,    0.06,        0.02433,        0.00025,    1.02,  6.6980E+05,  5.3E+03,    0.79
  7,  21, 10s1/2,  9p3/2,          8730(20)  , *        29.615(16) ,        ,     0.04844(49),  1.333(11)E+06  ,          8734 ,         23 ,   0.26,      29.615,       0.016,    0.05,        0.04844,        0.00049,    1.01,  1.3335E+06,  1.1E+04,    0.79
  8,  10, 11s1/2,  4p1/2,        152.977(5)  , *        0.1007(10) ,        ,      0.1444(26),  2.872(57)E+06  ,        152.977,       0.005,   0.00,      0.1007,      0.0010,    1.00,         0.1444,         0.0026,    1.81,  2.8719E+06,  5.7E+04,    2.00
  8,  11, 11s1/2,  4p3/2,        153.500(5)  , *        0.1427(14) ,        ,      0.2870(42),  5.71(11)E+06   ,        153.500,       0.005,   0.00,      0.1427,      0.0014,    1.00,         0.2870,         0.0042,    1.46,  5.7052E+06,  1.1E+05,    2.00
