Cs1 
 Key, State,    Total rate  ,      Lifetime  , Ref.   ,   Total rate ,    Unc   ,   Lifetime,      Unc  , Unc %
  2,  7s1/2, 2.0716(25)E+07 ,        48.28(7), E19    ,   2.0716E+07,   2.5E+04,     48.280,     0.070 ,  0.12
  3,  8s1/2, 1.081(11)E+07  ,      92.51(91) ,        ,   1.0810E+07,   1.1E+05,      92.51,      0.91 ,  0.98
  4,  9s1/2, 5.979(58)E+06  ,      167.3(16) ,        ,   5.9788E+06,   5.8E+04,      167.3,       1.6 ,  0.97
  5, 10s1/2, 3.587(34)E+06  ,      278.8(26) ,        ,   3.5866E+06,   3.4E+04,      278.8,       2.6 ,  0.95
  6, 11s1/2, 2.302(22)E+06  ,      434.4(41) ,        ,   2.3023E+06,   2.2E+04,      434.4,       4.1 ,  0.94
  7, 12s1/2, 1.559(14)E+06  ,      641.2(59) ,        ,   1.5595E+06,   1.4E+04,      641.2,       5.9 ,  0.93
  8, 13s1/2, 1.103(10)E+06  ,      906.9(84) ,        ,   1.1027E+06,   1.0E+04,      906.9,       8.4 ,  0.92
  9, 14s1/2, 8.073(74)E+05  ,        1239(11),        ,   8.0732E+05,   7.4E+03,      1239 ,       11  ,  0.92
 10,  6p1/2, 2.8626(78)E+07 ,      34.934(94), E27    ,   2.8626E+07,   7.8E+04,     34.934,     0.094 ,  0.27
 12,  7p1/2, 6.46(79)E+06   ,          155(4), E51    ,   6.4633E+06,   7.9E+05,      155.0,       4.0 , 12.18
 14,  8p1/2, 2.66(11)E+06   ,         376(16),        ,   2.6605E+06,   1.1E+05,       376 ,       16  ,  4.24
 16,  9p1/2, 1.439(40)E+06  ,         695(19),        ,   1.4387E+06,   4.0E+04,       695 ,       19  ,  2.80
 18, 10p1/2, 8.84(23)E+05   ,        1131(30),        ,   8.8419E+05,   2.3E+04,      1131 ,       30  ,  2.61
 20, 11p1/2, 5.88(14)E+05   ,        1701(42),        ,   5.8780E+05,   1.4E+04,      1701 ,       42  ,  2.45
 22, 12p1/2, 4.114(95)E+05  ,        2431(56),        ,   4.1144E+05,   9.5E+03,      2431 ,       56  ,  2.30
 24, 13p1/2, 2.997(65)E+05  ,        3337(73),        ,   2.9969E+05,   6.5E+03,      3337 ,       73  ,  2.17
 26, 14p1/2, 2.250(47)E+05  ,        4444(92),        ,   2.2502E+05,   4.7E+03,      4444 ,       92  ,  2.07
 11,  6p3/2, 3.2827(50)E+07 ,      30.462(46), E67    ,   3.2827E+07,   5.0E+04,     30.462,     0.046 ,  0.15
 13,  7p3/2, 7.65(61)E+06   ,          133(2), E51    ,   7.6496E+06,   6.1E+05,      133.0,       2.0 ,  8.04
 15,  8p3/2, 3.13(11)E+06   ,         320(12),        ,   3.1277E+06,   1.1E+05,       320 ,       12  ,  3.64
 17,  9p3/2, 1.649(46)E+06  ,         606(17),        ,   1.6491E+06,   4.6E+04,       606 ,       17  ,  2.81
 19, 10p3/2, 9.94(27)E+05   ,        1006(27),        ,   9.9423E+05,   2.7E+04,      1006 ,       27  ,  2.68
 21, 11p3/2, 6.50(17)E+05   ,        1538(40),        ,   6.5032E+05,   1.7E+04,      1538 ,       40  ,  2.57
 23, 12p3/2, 4.51(11)E+05   ,        2219(55),        ,   4.5074E+05,   1.1E+04,      2219 ,       55  ,  2.50
 25, 13p3/2, 3.252(78)E+05  ,        3075(74),        ,   3.2516E+05,   7.8E+03,      3075 ,       74  ,  2.41
 27, 14p3/2, 2.428(57)E+05  ,        4119(96),        ,   2.4276E+05,   5.7E+03,      4119 ,       96  ,  2.34
 28,  5d3/2, 1.035(36)E+06  ,         967(34),        ,   1.0347E+06,   3.6E+04,       967 ,       34  ,  3.47
 30,  6d3/2, 1.643(45)E+07  ,       60.9(17) ,        ,   1.6432E+07,   4.5E+05,       60.9,       1.7 ,  2.75
 32,  7d3/2, 1.089(18)E+07  ,       91.8(15) ,        ,   1.0894E+07,   1.8E+05,       91.8,       1.5 ,  1.61
 34,  8d3/2, 6.88(11)E+06   ,      145.4(24) ,        ,   6.8764E+06,   1.1E+05,      145.4,       2.4 ,  1.64
 36,  9d3/2, 4.496(71)E+06  ,      222.4(35) ,        ,   4.4957E+06,   7.1E+04,      222.4,       3.5 ,  1.57
 38, 10d3/2, 3.066(46)E+06  ,      326.1(49) ,        ,   3.0663E+06,   4.6E+04,      326.1,       4.9 ,  1.51
 40, 11d3/2, 2.173(32)E+06  ,      460.2(68) ,        ,   2.1728E+06,   3.2E+04,      460.2,       6.8 ,  1.47
 42, 12d3/2, 1.591(23)E+06  ,      628.7(90) ,        ,   1.5907E+06,   2.3E+04,      628.7,       9.0 ,  1.44
 44, 13d3/2, 1.197(17)E+06  ,         835(12),        ,   1.1971E+06,   1.7E+04,       835 ,       12  ,  1.42
 29,  5d5/2, 7.40(28)E+05   ,         1353(5), E68    ,   7.4046E+05,   2.8E+04,     1353.0,       5.0 ,  3.83
 31,  6d5/2, 1.648(49)E+07  ,       60.7(18) ,        ,   1.6483E+07,   4.9E+05,       60.7,       1.8 ,  2.99
 33,  7d5/2, 1.088(20)E+07  ,       91.9(17) ,        ,   1.0876E+07,   2.0E+05,       91.9,       1.7 ,  1.84
 35,  8d5/2, 6.85(12)E+06   ,      146.0(26) ,        ,   6.8491E+06,   1.2E+05,      146.0,       2.6 ,  1.80
 37,  9d5/2, 4.473(76)E+06  ,      223.6(38) ,        ,   4.4729E+06,   7.6E+04,      223.6,       3.8 ,  1.70
 39, 10d5/2, 3.049(49)E+06  ,      328.0(53) ,        ,   3.0490E+06,   4.9E+04,      328.0,       5.3 ,  1.62
 41, 11d5/2, 2.160(34)E+06  ,      463.0(73) ,        ,   2.1600E+06,   3.4E+04,      463.0,       7.3 ,  1.57
 43, 12d5/2, 1.581(24)E+06  ,      632.5(97) ,        ,   1.5811E+06,   2.4E+04,      632.5,       9.7 ,  1.54
 45, 13d5/2, 1.190(18)E+06  ,         840(13),        ,   1.1898E+06,   1.8E+04,       840 ,       13  ,  1.51
