Fr1 
  1,  7s1/2,  7s<sub>1/2</sub>, 1/2
  2,  8s1/2,  8s<sub>1/2</sub>, 1/2
  3,  9s1/2,  9s<sub>1/2</sub>, 1/2
  4, 10s1/2, 10s<sub>1/2</sub>, 1/2
  5, 11s1/2, 11s<sub>1/2</sub>, 1/2
  6, 12s1/2, 12s<sub>1/2</sub>, 1/2
  7, 13s1/2, 13s<sub>1/2</sub>, 1/2
  8, 14s1/2, 14s<sub>1/2</sub>, 1/2
  9,  7p1/2,  7p<sub>1/2</sub>, 1/2
 10,  7p3/2,  7p<sub>3/2</sub>, 3/2
 11,  8p1/2,  8p<sub>1/2</sub>, 1/2
 12,  8p3/2,  8p<sub>3/2</sub>, 3/2
 13,  9p1/2,  9p<sub>1/2</sub>, 1/2
 14,  9p3/2,  9p<sub>3/2</sub>, 3/2
 15, 10p1/2, 10p<sub>1/2</sub>, 1/2
 16, 10p3/2, 10p<sub>3/2</sub>, 3/2
 17, 11p1/2, 11p<sub>1/2</sub>, 1/2
 18, 11p3/2, 11p<sub>3/2</sub>, 3/2
 19, 12p1/2, 12p<sub>1/2</sub>, 1/2
 20, 12p3/2, 12p<sub>3/2</sub>, 3/2
 21, 13p1/2, 13p<sub>1/2</sub>, 1/2
 22, 13p3/2, 13p<sub>3/2</sub>, 3/2
 23, 14p1/2, 14p<sub>1/2</sub>, 1/2
 24, 14p3/2, 14p<sub>3/2</sub>, 3/2
 25,  6d3/2,  6d<sub>3/2</sub>, 3/2
 26,  6d5/2,  6d<sub>5/2</sub>, 5/2
 27,  7d3/2,  7d<sub>3/2</sub>, 3/2
 28,  7d5/2,  7d<sub>5/2</sub>, 5/2
 29,  8d3/2,  8d<sub>3/2</sub>, 3/2
 30,  8d5/2,  8d<sub>5/2</sub>, 5/2
 31,  9d3/2,  9d<sub>3/2</sub>, 3/2
 32,  9d5/2,  9d<sub>5/2</sub>, 5/2
 33, 10d3/2, 10d<sub>3/2</sub>, 3/2
 34, 10d5/2, 10d<sub>5/2</sub>, 5/2
 35, 11d3/2, 11d<sub>3/2</sub>, 3/2
 36, 11d5/2, 11d<sub>5/2</sub>, 5/2
 37, 12d3/2, 12d<sub>3/2</sub>, 3/2
 38, 12d5/2, 12d<sub>5/2</sub>, 5/2
 39, 13d3/2, 13d<sub>3/2</sub>, 3/2
 40, 13d5/2, 13d<sub>5/2</sub>, 5/2
 41,  5f5/2,  5f<sub>5/2</sub>, 5/2
 42,  5f7/2,  5f<sub>7/2</sub>, 7/2
 43,  6f5/2,  6f<sub>5/2</sub>, 5/2
 44,  6f7/2,  6f<sub>7/2</sub>, 7/2
 45,  7f5/2,  7f<sub>5/2</sub>, 5/2
 46,  7f7/2,  7f<sub>7/2</sub>, 7/2
 47,  8f5/2,  8f<sub>5/2</sub>, 5/2
 48,  8f7/2,  8f<sub>7/2</sub>, 7/2
 49,  9f5/2,  9f<sub>5/2</sub>, 5/2
 50,  9f7/2,  9f<sub>7/2</sub>, 7/2
 51, 10f5/2, 10f<sub>5/2</sub>, 5/2
 52, 10f7/2, 10f<sub>7/2</sub>, 7/2
 53, 11f5/2, 11f<sub>5/2</sub>, 5/2
 54, 11f7/2, 11f<sub>7/2</sub>, 7/2
 55, 12f5/2, 12f<sub>5/2</sub>, 5/2
 56, 12f7/2, 12f<sub>7/2</sub>, 7/2
