K1  
  Keys,,    Transition,,        Wavelength   ,          Matrix el. ,       ,       Br. ratio,     Tran. rate   ,     Wavelength,       Unc  ,  Unc %,  Matrix el.,       Unc  ,   Unc %,      Br. ratio,          Unc  ,   Unc %,  Tran. rate,    Unc  ,  Unc %
  2,  10,  5s1/2,  4p1/2,      1243.5699(8)  ,          3.8856(72) ,        ,      0.3349(12),  7.953(29)E+06  ,      1243.5699,      0.0008,   0.00,      3.8856,      0.0072,    0.18,         0.3349,         0.0012,    0.35,  7.9533E+06,  2.9E+04,    0.37
  2,  11,  5s1/2,  4p3/2,      1252.5591(8)  ,           5.535(10) ,        ,      0.6651(12),  1.5796(60)E+07 ,      1252.5591,      0.0008,   0.00,       5.535,       0.010,    0.19,         0.6651,         0.0012,    0.18,  1.5796E+07,  6.0E+04,    0.38
  3,  10,  6s1/2,  4p1/2,       691.2988(1)  ,          0.9035(37) ,        ,      0.2034(15),  2.503(21)E+06  ,       691.2988,      0.0001,   0.00,      0.9035,      0.0037,    0.41,         0.2034,         0.0015,    0.74,  2.5030E+06,  2.1E+04,    0.82
  3,  11,  6s1/2,  4p3/2,       694.0678(1)  ,          1.2788(53) ,        ,      0.4026(21),  4.955(41)E+06  ,       694.0678,      0.0001,   0.00,      1.2788,      0.0053,    0.42,         0.4026,         0.0021,    0.53,  4.9553E+06,  4.1E+04,    0.83
  3,  12,  6s1/2,  5p1/2,       3637.252(8)  ,           8.785(13) ,        ,     0.13203(61),  1.6248(49)E+06 ,       3637.252,       0.008,   0.00,       8.785,       0.013,    0.15,        0.13203,        0.00061,    0.46,  1.6248E+06,  4.9E+03,    0.30
  3,  13,  6s1/2,  5p3/2,       3662.237(8)  ,          12.502(20) ,        ,      0.2619(12),  3.224(10)E+06  ,       3662.237,       0.008,   0.00,      12.502,       0.020,    0.16,         0.2619,         0.0012,    0.44,  3.2237E+06,  1.0E+04,    0.31
  4,  10,  7s1/2,  4p1/2,       578.4003(1)  ,          0.4763(23) ,        ,      0.1769(15),  1.188(11)E+06  ,       578.4003,      0.0001,   0.00,      0.4763,      0.0023,    0.47,         0.1769,         0.0015,    0.87,  1.1875E+06,  1.1E+04,    0.95
  4,  11,  7s1/2,  4p3/2,       580.3375(1)  ,          0.6734(32) ,        ,      0.3500(23),  2.350(23)E+06  ,       580.3375,      0.0001,   0.00,      0.6734,      0.0032,    0.48,         0.3500,         0.0023,    0.67,  2.3501E+06,  2.3E+04,    0.96
  4,  12,  7s1/2,  5p1/2,       1794.409(2)  ,          1.8015(79) ,        ,     0.08476(76),  5.691(50)E+05  ,       1794.409,       0.002,   0.00,      1.8015,      0.0079,    0.44,        0.08476,        0.00076,    0.90,  5.6905E+05,  5.0E+03,    0.87
  4,  13,  7s1/2,  5p3/2,       1800.469(2)  ,           2.545(11) ,        ,      0.1674(14),  1.124(10)E+06  ,       1800.469,       0.002,   0.00,       2.545,       0.011,    0.45,         0.1674,         0.0014,    0.84,  1.1239E+06,  1.0E+04,    0.89
  4,  14,  7s1/2,  6p1/2,         7843.3(3)  ,          15.389(25) ,        ,     0.07406(38),  4.973(16)E+05  ,         7843.3,         0.3,   0.00,      15.389,       0.025,    0.16,        0.07406,        0.00038,    0.51,  4.9727E+05,  1.6E+03,    0.32
  4,  15,  7s1/2,  6p3/2,         7895.5(3)  ,          21.890(36) ,        ,     0.14689(73),  9.862(33)E+05  ,         7895.5,         0.3,   0.00,      21.890,       0.036,    0.16,        0.14689,        0.00073,    0.50,  9.8620E+05,  3.3E+03,    0.33
  5,  10,  8s1/2,  4p1/2,       532.4759(1)  ,          0.3141(16) ,        ,      0.1662(15),  6.622(65)E+05  ,       532.4759,      0.0001,   0.00,      0.3141,      0.0016,    0.49,         0.1662,         0.0015,    0.91,  6.6220E+05,  6.5E+03,    0.99
  5,  11,  8s1/2,  4p3/2,       534.1173(1)  ,          0.4439(22) ,        ,      0.3289(24),  1.310(13)E+06  ,       534.1173,      0.0001,   0.00,      0.4439,      0.0022,    0.50,         0.3289,         0.0024,    0.72,  1.3104E+06,  1.3E+04,    1.00
  5,  12,  8s1/2,  5p1/2,       1415.630(1)  ,          0.9123(46) ,        ,     0.07460(75),  2.972(30)E+05  ,       1415.630,       0.001,   0.00,      0.9123,      0.0046,    0.50,        0.07460,        0.00075,    1.01,  2.9721E+05,  3.0E+03,    1.00
  5,  13,  8s1/2,  5p3/2,       1419.399(1)  ,          1.2868(66) ,        ,      0.1472(14),  5.866(60)E+05  ,       1419.399,       0.001,   0.00,      1.2868,      0.0066,    0.51,         0.1472,         0.0014,    0.95,  5.8664E+05,  6.0E+03,    1.02
  5,  14,  8s1/2,  6p1/2,        3615.19(7)  ,           2.954(13) ,        ,     0.04697(44),  1.871(16)E+05  ,        3615.19,        0.07,   0.00,       2.954,       0.013,    0.44,        0.04697,        0.00044,    0.94,  1.8713E+05,  1.6E+03,    0.88
  5,  15,  8s1/2,  6p3/2,        3626.25(7)  ,           4.168(19) ,        ,     0.09264(85),  3.691(33)E+05  ,        3626.25,        0.07,   0.00,       4.168,       0.019,    0.45,        0.09264,        0.00085,    0.91,  3.6911E+05,  3.3E+03,    0.90
  5,  16,  8s1/2,  7p1/2,          14379(1)  ,          23.712(39) ,        ,     0.04809(25),  1.9161(64)E+05 ,         14379 ,          1 ,   0.01,      23.712,       0.039,    0.17,        0.04809,        0.00025,    0.52,  1.9161E+05,  6.4E+02,    0.33
  5,  17,  8s1/2,  7p3/2,          14472(1)  ,          33.717(57) ,        ,     0.09536(49),  3.799(13)E+05  ,         14472 ,          1 ,   0.01,      33.717,       0.057,    0.17,        0.09536,        0.00049,    0.52,  3.7994E+05,  1.3E+03,    0.34
  6,  10,  9s1/2,  4p1/2,       508.5651     ,          0.2301(12) ,        ,      0.1608(15),  4.077(41)E+05  ,       508.5651,      0.0000,   0.00,      0.2301,      0.0012,    0.51,         0.1608,         0.0015,    0.93,  4.0774E+05,  4.1E+03,    1.01
  6,  11,  9s1/2,  4p3/2,       510.0621     ,          0.3251(17) ,        ,      0.3181(24),  8.068(83)E+05  ,       510.0621,      0.0000,   0.00,      0.3251,      0.0017,    0.51,         0.3181,         0.0024,    0.75,  8.0682E+05,  8.3E+03,    1.03
  6,  12,  9s1/2,  5p1/2,      1258.3414(8)  ,          0.5918(31) ,        ,     0.07021(74),  1.781(19)E+05  ,      1258.3414,      0.0008,   0.00,      0.5918,      0.0031,    0.52,        0.07021,        0.00074,    1.05,  1.7805E+05,  1.9E+03,    1.04
  6,  13,  9s1/2,  5p3/2,      1261.3184(8)  ,          0.8343(44) ,        ,      0.1385(14),  3.514(37)E+05  ,      1261.3184,      0.0008,   0.00,      0.8343,      0.0044,    0.53,         0.1385,         0.0014,    1.00,  3.5138E+05,  3.7E+03,    1.06
  6,  14,  9s1/2,  6p1/2,        2740.42(4)  ,          1.4561(74) ,        ,     0.04115(44),  1.044(11)E+05  ,        2740.42,        0.04,   0.00,      1.4561,      0.0074,    0.51,        0.04115,        0.00044,    1.06,  1.0437E+05,  1.1E+03,    1.02
  6,  15,  9s1/2,  6p3/2,        2746.77(4)  ,           2.051(11) ,        ,     0.08110(84),  2.057(21)E+05  ,        2746.77,        0.04,   0.00,       2.051,       0.011,    0.52,        0.08110,        0.00084,    1.04,  2.0569E+05,  2.1E+03,    1.04
  6,  16,  9s1/2,  7p1/2,         6335.3(2)  ,           4.362(19) ,        ,     0.02990(28),  7.582(67)E+04  ,         6335.3,         0.2,   0.00,       4.362,       0.019,    0.44,        0.02990,        0.00028,    0.95,  7.5823E+04,  6.7E+02,    0.88
  6,  17,  9s1/2,  7p3/2,         6353.4(2)  ,           6.151(28) ,        ,     0.05893(56),  1.494(13)E+05  ,         6353.4,         0.2,   0.00,       6.151,       0.028,    0.45,        0.05893,        0.00056,    0.94,  1.4945E+05,  1.3E+03,    0.90
  6,  18,  9s1/2,  8p1/2,          23758(3)  ,          33.758(59) ,        ,     0.03395(18),  8.609(30)E+04  ,         23758 ,          3 ,   0.01,      33.758,       0.059,    0.17,        0.03395,        0.00018,    0.54,  8.6092E+04,  3.0E+02,    0.35
  6,  19,  9s1/2,  8p3/2,          23910(3)  ,          47.991(85) ,        ,     0.06731(36),  1.7070(61)E+05 ,         23910 ,          3 ,   0.01,      47.991,       0.085,    0.18,        0.06731,        0.00036,    0.53,  1.7070E+05,  6.1E+02,    0.36
  7,  10, 10s1/2,  4p1/2,       494.3388     ,         0.17911(92) ,        ,      0.1576(15),  2.690(28)E+05  ,       494.3388,      0.0000,   0.00,     0.17911,     0.00092,    0.51,         0.1576,         0.0015,    0.95,  2.6903E+05,  2.8E+03,    1.03
  7,  11, 10s1/2,  4p3/2,       495.7531     ,          0.2530(13) ,        ,      0.3119(24),  5.323(56)E+05  ,       495.7531,      0.0000,   0.00,      0.2530,      0.0013,    0.52,         0.3119,         0.0024,    0.76,  5.3234E+05,  5.6E+03,    1.05
  7,  12, 10s1/2,  5p1/2,      1174.6955(7)  ,          0.4304(23) ,        ,     0.06783(73),  1.158(12)E+05  ,      1174.6955,      0.0007,   0.00,      0.4304,      0.0023,    0.53,        0.06783,        0.00073,    1.07,  1.1577E+05,  1.2E+03,    1.06
  7,  13, 10s1/2,  5p3/2,      1177.2895(7)  ,          0.6066(33) ,        ,      0.1339(14),  2.285(25)E+05  ,      1177.2895,      0.0007,   0.00,      0.6066,      0.0033,    0.54,         0.1339,         0.0014,    1.02,  2.2845E+05,  2.5E+03,    1.09
  7,  14, 10s1/2,  6p1/2,        2372.50(3)  ,          0.9316(50) ,        ,     0.03858(43),  6.584(70)E+04  ,        2372.50,        0.03,   0.00,      0.9316,      0.0050,    0.53,        0.03858,        0.00043,    1.10,  6.5838E+04,  7.0E+02,    1.06
  7,  15, 10s1/2,  6p3/2,        2377.26(3)  ,          1.3116(71) ,        ,     0.07601(83),  1.297(14)E+05  ,        2377.26,        0.03,   0.00,      1.3116,      0.0071,    0.54,        0.07601,        0.00083,    1.09,  1.2972E+05,  1.4E+03,    1.09
  7,  16, 10s1/2,  7p1/2,         4663.5(1)  ,           2.107(11) ,        ,     0.02599(28),  4.435(46)E+04  ,         4663.5,         0.1,   0.00,       2.107,       0.011,    0.51,        0.02599,        0.00028,    1.08,  4.4353E+04,  4.6E+02,    1.03
  7,  17, 10s1/2,  7p3/2,         4673.3(1)  ,           2.966(16) ,        ,     0.05117(55),  8.733(92)E+04  ,         4673.3,         0.1,   0.00,       2.966,       0.016,    0.53,        0.05117,        0.00055,    1.08,  8.7332E+04,  9.2E+02,    1.05
  7,  18, 10s1/2,  8p1/2,        10133.9(6)  ,           6.026(27) ,        ,     0.02071(20),  3.535(31)E+04  ,        10133.9,         0.6,   0.01,       6.026,       0.027,    0.44,        0.02071,        0.00020,    0.96,  3.5346E+04,  3.1E+02,    0.88
  7,  19, 10s1/2,  8p3/2,        10161.4(6)  ,           8.492(38) ,        ,     0.04080(39),  6.964(63)E+04  ,        10161.4,         0.6,   0.01,       8.492,       0.038,    0.45,        0.04080,        0.00039,    0.96,  6.9636E+04,  6.3E+02,    0.90
  7,  20, 10s1/2,  9p1/2,        36493.2(4)  ,          45.529(82) ,        ,     0.02532(14),  4.321(16)E+04  ,        36493.2,         0.4,   0.00,      45.529,       0.082,    0.18,        0.02532,        0.00014,    0.55,  4.3208E+04,  1.6E+02,    0.36
  7,  21, 10s1/2,  9p3/2,        36724.1(4)  ,           64.72(12) ,        ,     0.05020(27),  8.567(32)E+04  ,        36724.1,         0.4,   0.00,       64.72,        0.12,    0.19,        0.05020,        0.00027,    0.54,  8.5668E+04,  3.2E+02,    0.37
  8,  10, 11s1/2,  4p1/2,       485.1219     ,         0.14512(76) ,        ,      0.1557(15),  1.869(19)E+05  ,       485.1219,      0.0000,   0.00,     0.14512,     0.00076,    0.52,         0.1557,         0.0015,    0.96,  1.8688E+05,  1.9E+03,    1.04
  8,  11, 11s1/2,  4p3/2,       486.4839     ,          0.2050(11) ,        ,      0.3080(24),  3.698(39)E+05  ,       486.4839,      0.0000,   0.00,      0.2050,      0.0011,    0.53,         0.3080,         0.0024,    0.78,  3.6978E+05,  3.9E+03,    1.06
  8,  12, 11s1/2,  5p1/2,      1123.9519(6)  ,          0.3342(18) ,        ,     0.06639(72),  7.970(86)E+04  ,      1123.9519,      0.0006,   0.00,      0.3342,      0.0018,    0.54,        0.06639,        0.00072,    1.09,  7.9701E+04,  8.6E+02,    1.08
  8,  13, 11s1/2,  5p3/2,      1126.3264(6)  ,          0.4710(26) ,        ,      0.1310(14),  1.573(17)E+05  ,      1126.3264,      0.0006,   0.00,      0.4710,      0.0026,    0.55,         0.1310,         0.0014,    1.03,  1.5727E+05,  1.7E+03,    1.10
  8,  14, 11s1/2,  6p1/2,        2174.25(2)  ,          0.6726(36) ,        ,     0.03714(42),  4.459(48)E+04  ,        2174.25,        0.02,   0.00,      0.6726,      0.0036,    0.54,        0.03714,        0.00042,    1.12,  4.4592E+04,  4.8E+02,    1.09
  8,  15, 11s1/2,  6p3/2,        2178.25(2)  ,          0.9467(53) ,        ,     0.07318(81),  8.785(98)E+04  ,        2178.25,        0.02,   0.00,      0.9467,      0.0053,    0.56,        0.07318,        0.00081,    1.11,  8.7853E+04,  9.8E+02,    1.11
  8,  16, 11s1/2,  7p1/2,        3954.66(9)  ,          1.3327(72) ,        ,     0.02423(27),  2.909(31)E+04  ,        3954.66,        0.09,   0.00,      1.3327,      0.0072,    0.54,        0.02423,        0.00027,    1.13,  2.9092E+04,  3.1E+02,    1.08
  8,  17, 11s1/2,  7p3/2,        3961.71(9)  ,           1.875(10) ,        ,     0.04770(54),  5.726(63)E+04  ,        3961.71,        0.09,   0.00,       1.875,       0.010,    0.55,        0.04770,        0.00054,    1.13,  5.7265E+04,  6.3E+02,    1.10
  8,  18, 11s1/2,  8p1/2,         7293.3(3)  ,           2.865(15) ,        ,     0.01785(20),  2.143(22)E+04  ,         7293.3,         0.3,   0.00,       2.865,       0.015,    0.52,        0.01785,        0.00020,    1.10,  2.1435E+04,  2.2E+02,    1.04
  8,  19, 11s1/2,  8p3/2,         7307.5(3)  ,           4.031(21) ,        ,     0.03513(39),  4.218(45)E+04  ,         7307.5,         0.3,   0.00,       4.031,       0.021,    0.53,        0.03513,        0.00039,    1.10,  4.2180E+04,  4.5E+02,    1.06
  8,  20, 11s1/2,  9p1/2,       15189.33(7)  ,           7.944(35) ,        ,     0.01520(15),  1.824(16)E+04  ,       15189.33,        0.07,   0.00,       7.944,       0.035,    0.44,        0.01520,        0.00015,    0.96,  1.8243E+04,  1.6E+02,    0.88
  8,  21, 11s1/2,  9p3/2,       15229.20(7)  ,          11.192(51) ,        ,     0.02992(29),  3.593(33)E+04  ,       15229.20,        0.07,   0.00,      11.192,       0.051,    0.45,        0.02992,        0.00029,    0.97,  3.5926E+04,  3.3E+02,    0.91
  8,  22, 11s1/2, 10p1/2,        53098.5(9)  ,           59.03(11) ,        ,     0.01964(11),  2.3576(89)E+04 ,        53098.5,         0.9,   0.00,       59.03,        0.11,    0.19,        0.01964,        0.00011,    0.56,  2.3576E+04,  8.9E+01,    0.38
  8,  23, 11s1/2, 10p3/2,        53429.9(9)  ,           83.89(16) ,        ,     0.03894(22),  4.674(18)E+04  ,        53429.9,         0.9,   0.00,       83.89,        0.16,    0.19,        0.03894,        0.00022,    0.55,  4.6745E+04,  1.8E+02,    0.38
  9,  10, 12s1/2,  4p1/2,       478.7829     ,         0.12098(64) ,        ,      0.1544(15),  1.351(14)E+05  ,       478.7829,      0.0000,   0.00,     0.12098,     0.00064,    0.53,         0.1544,         0.0015,    0.97,  1.3510E+05,  1.4E+03,    1.05
  9,  11, 12s1/2,  4p3/2,       480.1095     ,         0.17089(91) ,        ,      0.3054(24),  2.673(29)E+05  ,       480.1095,      0.0000,   0.00,     0.17089,     0.00091,    0.53,         0.3054,         0.0024,    0.79,  2.6732E+05,  2.9E+03,    1.07
  9,  12, 12s1/2,  5p1/2,      1090.5010(6)  ,          0.2708(15) ,        ,     0.06544(72),  5.728(62)E+04  ,      1090.5010,      0.0006,   0.00,      0.2708,      0.0015,    0.54,        0.06544,        0.00072,    1.10,  5.7277E+04,  6.2E+02,    1.09
  9,  13, 12s1/2,  5p3/2,      1092.7362(6)  ,          0.3815(21) ,        ,      0.1291(13),  1.130(13)E+05  ,      1092.7362,      0.0006,   0.00,      0.3815,      0.0021,    0.55,         0.1291,         0.0013,    1.04,  1.1302E+05,  1.3E+03,    1.11
  9,  14, 12s1/2,  6p1/2,        2052.46(2)  ,          0.5204(29) ,        ,     0.03625(41),  3.173(35)E+04  ,        2052.46,        0.02,   0.00,      0.5204,      0.0029,    0.55,        0.03625,        0.00041,    1.14,  3.1726E+04,  3.5E+02,    1.10
  9,  15, 12s1/2,  6p3/2,        2056.02(2)  ,          0.7323(41) ,        ,     0.07141(80),  6.250(70)E+04  ,        2056.02,        0.02,   0.00,      0.7323,      0.0041,    0.56,        0.07141,        0.00080,    1.12,  6.2501E+04,  7.0E+02,    1.13
  9,  16, 12s1/2,  7p1/2,        3569.42(8)  ,          0.9556(53) ,        ,     0.02324(27),  2.034(22)E+04  ,        3569.42,        0.08,   0.00,      0.9556,      0.0053,    0.55,        0.02324,        0.00027,    1.15,  2.0341E+04,  2.2E+02,    1.10
  9,  17, 12s1/2,  7p3/2,        3575.16(8)  ,          1.3438(76) ,        ,     0.04574(53),  4.003(45)E+04  ,        3575.16,        0.08,   0.00,      1.3438,      0.0076,    0.56,        0.04574,        0.00053,    1.15,  4.0033E+04,  4.5E+02,    1.13
  9,  18, 12s1/2,  8p1/2,         6082.6(2)  ,          1.7944(98) ,        ,     0.01656(19),  1.449(16)E+04  ,         6082.6,         0.2,   0.00,      1.7944,      0.0098,    0.54,        0.01656,        0.00019,    1.15,  1.4494E+04,  1.6E+02,    1.09
  9,  19, 12s1/2,  8p3/2,         6092.5(2)  ,           2.523(14) ,        ,     0.03257(38),  2.851(32)E+04  ,         6092.5,         0.2,   0.00,       2.523,       0.014,    0.56,        0.03257,        0.00038,    1.15,  2.8511E+04,  3.2E+02,    1.11
  9,  20, 12s1/2,  9p1/2,       10737.96(4)  ,           3.729(19) ,        ,     0.01300(14),  1.138(12)E+04  ,       10737.96,        0.04,   0.00,       3.729,       0.019,    0.52,        0.01300,        0.00014,    1.11,  1.1379E+04,  1.2E+02,    1.04
  9,  21, 12s1/2,  9p3/2,       10757.86(4)  ,           5.244(28) ,        ,     0.02557(29),  2.238(24)E+04  ,       10757.86,        0.04,   0.00,       5.244,       0.028,    0.54,        0.02557,        0.00029,    1.12,  2.2380E+04,  2.4E+02,    1.07
  9,  22, 12s1/2, 10p1/2,        21680.3(1)  ,          10.117(45) ,        ,     0.01162(11),  1.0175(90)E+04 ,        21680.3,         0.1,   0.00,      10.117,       0.045,    0.44,        0.01162,        0.00011,    0.97,  1.0175E+04,  9.0E+01,    0.89
  9,  23, 12s1/2, 10p3/2,        21735.3(1)  ,          14.249(65) ,        ,     0.02289(22),  2.003(18)E+04  ,        21735.3,         0.1,   0.00,      14.249,       0.065,    0.45,        0.02289,        0.00022,    0.98,  2.0032E+04,  1.8E+02,    0.91
