K1  
 Key, State,    Total rate  ,      Lifetime  , Ref.   ,   Total rate ,    Unc   ,   Lifetime,      Unc  , Unc %
  2,  5s1/2, 2.3749(66)E+07 ,      42.11(12) ,        ,   2.3749E+07,   6.6E+04,      42.11,      0.12 ,  0.28
  3,  6s1/2, 1.2307(47)E+07 ,      81.26(31) ,        ,   1.2307E+07,   4.7E+04,      81.26,      0.31 ,  0.39
  4,  7s1/2, 6.714(28)E+06  ,     148.94(62) ,        ,   6.7140E+06,   2.8E+04,     148.94,      0.62 ,  0.42
  5,  8s1/2, 3.984(17)E+06  ,      251.0(10) ,        ,   3.9842E+06,   1.7E+04,      251.0,       1.0 ,  0.42
  6,  9s1/2, 2.536(11)E+06  ,      394.3(16) ,        ,   2.5361E+06,   1.1E+04,      394.3,       1.6 ,  0.42
  7, 10s1/2, 1.7067(71)E+06 ,      585.9(24) ,        ,   1.7067E+06,   7.1E+03,      585.9,       2.4 ,  0.42
  8, 11s1/2, 1.2005(50)E+06 ,      833.0(35) ,        ,   1.2005E+06,   5.0E+03,      833.0,       3.5 ,  0.42
  9, 12s1/2, 8.753(36)E+05  ,     1142.5(48) ,        ,   8.7525E+05,   3.6E+03,     1142.5,       4.8 ,  0.42
 10,  4p1/2, 3.7396(36)E+07 ,        26.74(3), E70    ,   3.7396E+07,   3.6E+04,     26.740,     0.030 ,  0.10
 12,  5p1/2, 7.34(12)E+06   ,      136.3(23) ,        ,   7.3368E+06,   1.2E+05,      136.3,       2.3 ,  1.67
 14,  6p1/2, 2.930(70)E+06  ,      341.3(82) ,        ,   2.9302E+06,   7.0E+04,      341.3,       8.2 ,  2.40
 16,  7p1/2, 1.530(40)E+06  ,         653(17),        ,   1.5305E+06,   4.0E+04,       653 ,       17  ,  2.62
 18,  8p1/2, 9.14(25)E+05   ,        1094(29),        ,   9.1432E+05,   2.5E+04,      1094 ,       29  ,  2.70
 20,  9p1/2, 5.92(16)E+05   ,        1688(45),        ,   5.9239E+05,   1.6E+04,      1688 ,       45  ,  2.64
 22, 10p1/2, 4.10(11)E+05   ,        2437(63),        ,   4.1035E+05,   1.1E+04,      2437 ,       63  ,  2.59
 24, 11p1/2, 2.938(75)E+05  ,        3403(87),        ,   2.9383E+05,   7.5E+03,      3403 ,       87  ,  2.55
 26, 12p1/2, 2.176(54)E+05  ,       4600(120),        ,   2.1760E+05,   5.4E+03,      4596 ,      115  ,  2.50
 11,  4p3/2, 3.7899(39)E+07 ,        26.39(3), E70    ,   3.7899E+07,   3.9E+04,     26.390,     0.030 ,  0.10
 13,  5p3/2, 7.51(12)E+06   ,      133.2(21) ,        ,   7.5095E+06,   1.2E+05,      133.2,       2.1 ,  1.60
 15,  6p3/2, 3.006(66)E+06  ,      332.7(73) ,        ,   3.0056E+06,   6.6E+04,      332.7,       7.3 ,  2.19
 17,  7p3/2, 1.570(37)E+06  ,         637(15),        ,   1.5700E+06,   3.7E+04,       637 ,       15  ,  2.33
 19,  8p3/2, 9.38(22)E+05   ,        1066(25),        ,   9.3765E+05,   2.2E+04,      1066 ,       25  ,  2.38
 21,  9p3/2, 6.07(14)E+05   ,        1646(38),        ,   6.0738E+05,   1.4E+04,      1646 ,       38  ,  2.33
