Li1 
  Keys,,    Transition,,        Wavelength   ,          Matrix el. ,       ,       Br. ratio,     Tran. rate   ,     Wavelength,       Unc  ,  Unc %,  Matrix el.,       Unc  ,   Unc %,      Br. ratio,          Unc  ,   Unc %,  Tran. rate,    Unc  ,  Unc %
  2,  10,  3s1/2,  2p1/2,        812.846(9)  ,          2.4326(12) ,        ,     0.33334(31),  1.1162(11)E+07 ,        812.846,       0.009,   0.00,      2.4326,      0.0012,    0.05,        0.33334,        0.00031,    0.09,  1.1162E+07,  1.1E+04,    0.10
  2,  11,  3s1/2,  2p3/2,        812.868(9)  ,          3.4403(17) ,        ,     0.66666(31),  2.2324(22)E+07 ,        812.868,       0.009,   0.00,      3.4403,      0.0017,    0.05,        0.66666,        0.00031,    0.05,  2.2324E+07,  2.2E+04,    0.10
  3,  10,  4s1/2,  2p1/2,        497.305(3)  ,         0.64823(32) ,        ,     0.19399(18),  3.4612(35)E+06 ,        497.305,       0.003,   0.00,     0.64823,     0.00032,    0.05,        0.19399,        0.00018,    0.09,  3.4612E+06,  3.5E+03,    0.10
  3,  11,  4s1/2,  2p3/2,        497.313(3)  ,         0.91675(46) ,        ,     0.38797(28),  6.9222(69)E+06 ,        497.313,       0.003,   0.00,     0.91675,     0.00046,    0.05,        0.38797,        0.00028,    0.07,  6.9222E+06,  6.9E+03,    0.10
  3,  12,  4s1/2,  3p1/2,        2446.97(8)  ,          5.9966(30) ,        ,     0.13935(14),  2.4863(25)E+06 ,        2446.97,        0.08,   0.00,      5.9966,      0.0030,    0.05,        0.13935,        0.00014,    0.10,  2.4863E+06,  2.5E+03,    0.10
  3,  13,  4s1/2,  3p3/2,        2446.97(8)  ,          8.4804(42) ,        ,     0.27870(24),  4.9726(50)E+06 ,        2446.97,        0.08,   0.00,      8.4804,      0.0042,    0.05,        0.27870,        0.00024,    0.09,  4.9726E+06,  5.0E+03,    0.10
  4,  10,  5s1/2,  2p1/2,        427.426(3)  ,         0.34855(17) ,        ,     0.16083(15),  1.5761(16)E+06 ,        427.426,       0.003,   0.00,     0.34855,     0.00017,    0.05,        0.16083,        0.00015,    0.09,  1.5761E+06,  1.6E+03,    0.10
  4,  11,  5s1/2,  2p3/2,        427.433(3)  ,         0.49292(25) ,        ,     0.32165(24),  3.1521(32)E+06 ,        427.433,       0.003,   0.00,     0.49292,     0.00025,    0.05,        0.32165,        0.00024,    0.08,  3.1521E+06,  3.2E+03,    0.10
  4,  12,  5s1/2,  3p1/2,        1356.09(3)  ,         1.52157(76) ,        ,    0.095971(97),  9.4049(94)E+05 ,        1356.09,        0.03,   0.00,     1.52157,     0.00076,    0.05,       0.095971,       0.000097,    0.10,  9.4049E+05,  9.4E+02,    0.10
  4,  13,  5s1/2,  3p3/2,        1356.09(3)  ,          2.1518(11) ,        ,     0.19194(17),  1.8810(19)E+06 ,        1356.09,        0.03,   0.00,      2.1518,      0.0011,    0.05,        0.19194,        0.00017,    0.09,  1.8810E+06,  1.9E+03,    0.10
  4,  14,  5s1/2,  4p1/2,         5464.6(4)  ,         10.9916(55) ,        ,    0.076536(80),  7.5002(77)E+05 ,         5464.6,         0.4,   0.01,     10.9916,      0.0055,    0.05,       0.076536,       0.000080,    0.10,  7.5002E+05,  7.7E+02,    0.10
  4,  15,  5s1/2,  4p3/2,         5464.6(4)  ,         15.5444(78) ,        ,     0.15307(15),  1.5000(15)E+06 ,         5464.6,         0.4,   0.01,     15.5444,      0.0078,    0.05,        0.15307,        0.00015,    0.10,  1.5000E+06,  1.5E+03,    0.10
  5,  10,  6s1/2,  2p1/2,        398.661(2)  ,         0.23110(12) ,        ,     0.14668(14),  8.5397(85)E+05 ,        398.661,       0.002,   0.00,     0.23110,     0.00012,    0.05,        0.14668,        0.00014,    0.09,  8.5397E+05,  8.5E+02,    0.10
  5,  11,  6s1/2,  2p3/2,        398.666(2)  ,         0.32683(16) ,        ,     0.29335(22),  1.7079(17)E+06 ,        398.666,       0.002,   0.00,     0.32683,     0.00016,    0.05,        0.29335,        0.00022,    0.08,  1.7079E+06,  1.7E+03,    0.10
  5,  12,  6s1/2,  3p1/2,        1103.48(2)  ,         0.80236(40) ,        ,    0.083371(84),  4.8538(49)E+05 ,        1103.48,        0.02,   0.00,     0.80236,     0.00040,    0.05,       0.083371,       0.000084,    0.10,  4.8538E+05,  4.9E+02,    0.10
  5,  13,  6s1/2,  3p3/2,        1103.48(2)  ,         1.13470(57) ,        ,     0.16674(15),  9.7076(97)E+05 ,        1103.48,        0.02,   0.00,     1.13470,     0.00057,    0.05,        0.16674,        0.00015,    0.09,  9.7076E+05,  9.7E+02,    0.10
  5,  14,  6s1/2,  4p1/2,         2842.5(1)  ,          2.6884(13) ,        ,    0.054762(57),  3.1882(32)E+05 ,         2842.5,         0.1,   0.00,      2.6884,      0.0013,    0.05,       0.054762,       0.000057,    0.10,  3.1882E+05,  3.2E+02,    0.10
  5,  15,  6s1/2,  4p3/2,         2842.5(1)  ,          3.8020(19) ,        ,     0.10952(11),  6.3764(64)E+05 ,         2842.5,         0.1,   0.00,      3.8020,      0.0019,    0.05,        0.10952,        0.00011,    0.10,  6.3764E+05,  6.4E+02,    0.10
  5,  16,  6s1/2,  5p1/2,          10287(1)  ,         17.4237(87) ,        ,    0.048524(54),  2.8250(31)E+05 ,         10287 ,          1 ,   0.01,     17.4237,      0.0087,    0.05,       0.048524,       0.000054,    0.11,  2.8250E+05,  3.1E+02,    0.11
  5,  17,  6s1/2,  5p3/2,          10287(1)  ,          24.641(12) ,        ,     0.09705(10),  5.6500(62)E+05 ,         10287 ,          1 ,   0.01,      24.641,       0.012,    0.05,        0.09705,        0.00010,    0.11,  5.6500E+05,  6.2E+02,    0.11
  6,  10,  7s1/2,  2p1/2,         383.67(1)  ,        0.169481(85) ,        ,     0.13914(14),  5.1525(52)E+05 ,         383.67,        0.01,   0.00,    0.169481,    0.000085,    0.05,        0.13914,        0.00014,    0.10,  5.1525E+05,  5.2E+02,    0.10
  6,  11,  7s1/2,  2p3/2,         383.67(1)  ,         0.23968(12) ,        ,     0.27826(25),  1.0305(10)E+06 ,         383.67,        0.01,   0.00,     0.23968,     0.00012,    0.05,        0.27826,        0.00025,    0.09,  1.0305E+06,  1.0E+03,    0.10
  6,  12,  7s1/2,  3p1/2,          995.8(1)  ,         0.52837(26) ,        ,    0.077352(87),  2.8645(30)E+05 ,          995.8,         0.1,   0.01,     0.52837,     0.00026,    0.05,       0.077352,       0.000087,    0.11,  2.8645E+05,  3.0E+02,    0.10
  6,  13,  7s1/2,  3p3/2,          995.8(1)  ,         0.74723(37) ,        ,     0.15470(16),  5.7289(60)E+05 ,          995.8,         0.1,   0.01,     0.74723,     0.00037,    0.05,        0.15470,        0.00016,    0.10,  5.7289E+05,  6.0E+02,    0.10
  6,  14,  7s1/2,  4p1/2,         2223.0(5)  ,         1.39191(70) ,        ,    0.048244(62),  1.7866(22)E+05 ,         2223.0,         0.5,   0.02,     1.39191,     0.00070,    0.05,       0.048244,       0.000062,    0.13,  1.7866E+05,  2.2E+02,    0.12
  6,  15,  7s1/2,  4p3/2,         2223.0(5)  ,         1.96845(98) ,        ,     0.09649(12),  3.5731(43)E+05 ,         2223.0,         0.5,   0.02,     1.96845,     0.00098,    0.05,        0.09649,        0.00012,    0.12,  3.5731E+05,  4.3E+02,    0.12
  6,  16,  7s1/2,  5p1/2,           5122(3)  ,          4.1467(21) ,        ,    0.035005(65),  1.2963(24)E+05 ,          5122 ,          3 ,   0.05,      4.1467,      0.0021,    0.05,       0.035005,       0.000065,    0.19,  1.2963E+05,  2.4E+02,    0.18
  6,  17,  7s1/2,  5p3/2,           5122(3)  ,          5.8643(29) ,        ,     0.07001(13),  2.5926(48)E+05 ,          5122 ,          3 ,   0.05,      5.8643,      0.0029,    0.05,        0.07001,        0.00013,    0.18,  2.5926E+05,  4.8E+02,    0.18
  6,  18,  7s1/2,  6p1/2,         17330(30)  ,          25.282(24) ,        ,     0.03360(18),  1.2443(69)E+05 ,         17329 ,         30 ,   0.17,      25.282,       0.024,    0.09,        0.03360,        0.00018,    0.54,  1.2443E+05,  6.9E+02,    0.55
  6,  19,  7s1/2,  6p3/2,         17330(30)  ,          35.754(34) ,        ,     0.06720(35),  2.489(14)E+05  ,         17329 ,         30 ,   0.17,      35.754,       0.034,    0.10,        0.06720,        0.00035,    0.52,  2.4886E+05,  1.4E+03,    0.56
  7,  10,  8s1/2,  2p1/2,         374.76(1)  ,        0.131897(66) ,        ,     0.13460(14),  3.3484(34)E+05 ,         374.76,        0.01,   0.00,    0.131897,    0.000066,    0.05,        0.13460,        0.00014,    0.11,  3.3484E+05,  3.4E+02,    0.10
  7,  11,  8s1/2,  2p3/2,         374.77(1)  ,        0.186531(93) ,        ,     0.26918(25),  6.6965(67)E+05 ,         374.77,        0.01,   0.00,    0.186531,    0.000093,    0.05,        0.26918,        0.00025,    0.09,  6.6965E+05,  6.7E+02,    0.10
  7,  12,  8s1/2,  3p1/2,         937.93(9)  ,         0.38695(19) ,        ,    0.073899(84),  1.8384(19)E+05 ,         937.93,        0.09,   0.01,     0.38695,     0.00019,    0.05,       0.073899,       0.000084,    0.11,  1.8384E+05,  1.9E+02,    0.10
  7,  13,  8s1/2,  3p3/2,         937.93(9)  ,         0.54723(27) ,        ,     0.14780(16),  3.6767(38)E+05 ,         937.93,        0.09,   0.01,     0.54723,     0.00027,    0.05,        0.14780,        0.00016,    0.11,  3.6767E+05,  3.8E+02,    0.10
  7,  14,  8s1/2,  4p1/2,         1954.1(4)  ,         0.90799(45) ,        ,    0.044998(57),  1.1194(13)E+05 ,         1954.1,         0.4,   0.02,     0.90799,     0.00045,    0.05,       0.044998,       0.000057,    0.13,  1.1194E+05,  1.3E+02,    0.12
  7,  15,  8s1/2,  4p3/2,         1954.1(4)  ,         1.28409(64) ,        ,     0.09000(11),  2.2388(26)E+05 ,         1954.1,         0.4,   0.02,     1.28409,     0.00064,    0.05,        0.09000,        0.00011,    0.12,  2.2388E+05,  2.6E+02,    0.12
  7,  16,  8s1/2,  5p1/2,           3889(2)  ,          2.1137(11) ,        ,    0.030938(50),  7.697(12)E+04  ,          3889 ,          2 ,   0.04,      2.1137,      0.0011,    0.05,       0.030938,       0.000050,    0.16,  7.6965E+04,  1.2E+02,    0.15
  7,  17,  8s1/2,  5p3/2,           3889(2)  ,          2.9892(15) ,        ,    0.061877(97),  1.5393(24)E+05 ,          3889 ,          2 ,   0.04,      2.9892,      0.0015,    0.05,       0.061877,       0.000097,    0.16,  1.5393E+05,  2.4E+02,    0.15
  7,  18,  8s1/2,  6p1/2,           8359(7)  ,          5.8948(29) ,        ,    0.024225(66),  6.026(16)E+04  ,          8359 ,          7 ,   0.08,      5.8948,      0.0029,    0.05,       0.024225,       0.000066,    0.27,  6.0264E+04,  1.6E+02,    0.27
  7,  19,  8s1/2,  6p3/2,           8359(7)  ,          8.3366(42) ,        ,     0.04845(13),  1.2053(33)E+05 ,          8359 ,          7 ,   0.08,      8.3366,      0.0042,    0.05,        0.04845,        0.00013,    0.26,  1.2053E+05,  3.3E+02,    0.27
  7,  20,  8s1/2,  7p1/2,         27050(70)  ,          34.625(17) ,        ,     0.02468(20),  6.140(50)E+04  ,         27045 ,         74 ,   0.27,      34.625,       0.017,    0.05,        0.02468,        0.00020,    0.80,  6.1395E+04,  5.0E+02,    0.82
  7,  21,  8s1/2,  7p3/2,         27050(70)  ,          48.967(24) ,        ,     0.04936(39),  1.228(10)E+05  ,         27045 ,         74 ,   0.27,      48.967,       0.024,    0.05,        0.04936,        0.00039,    0.78,  1.2279E+05,  1.0E+03,    0.82
  8,  10,  9s1/2,  2p1/2,         369.01(1)  ,        0.106795(53) ,        ,     0.13162(15),  2.2995(23)E+05 ,         369.01,        0.01,   0.00,    0.106795,    0.000053,    0.05,        0.13162,        0.00015,    0.11,  2.2995E+05,  2.3E+02,    0.10
  8,  11,  9s1/2,  2p3/2,         369.01(1)  ,        0.151031(76) ,        ,     0.26322(26),  4.5988(46)E+05 ,         369.01,        0.01,   0.00,    0.151031,    0.000076,    0.05,        0.26322,        0.00026,    0.10,  4.5988E+05,  4.6E+02,    0.10
  8,  12,  9s1/2,  3p1/2,         902.70(8)  ,         0.30160(15) ,        ,    0.071707(85),  1.2528(13)E+05 ,         902.70,        0.08,   0.01,     0.30160,     0.00015,    0.05,       0.071707,       0.000085,    0.12,  1.2528E+05,  1.3E+02,    0.10
  8,  13,  9s1/2,  3p3/2,         902.70(8)  ,         0.42653(21) ,        ,     0.14341(16),  2.5056(26)E+05 ,         902.70,        0.08,   0.01,     0.42653,     0.00021,    0.05,        0.14341,        0.00016,    0.11,  2.5056E+05,  2.6E+02,    0.10
