Li1 
 Key, State,    Total rate  ,      Lifetime  , Ref.   ,   Total rate ,    Unc   ,   Lifetime,      Unc  , Unc %
  2,  3s1/2, 3.3485(25)E+07 ,     29.864(22) ,        ,   3.3485E+07,   2.5E+04,     29.864,     0.022 ,  0.07
  3,  4s1/2, 1.78424(95)E+07,     56.046(30) ,        ,   1.7842E+07,   9.5E+03,     56.046,     0.030 ,  0.05
  4,  5s1/2, 9.7997(45)E+06 ,    102.044(46) ,        ,   9.7997E+06,   4.5E+03,    102.044,     0.046 ,  0.05
  5,  6s1/2, 5.8220(24)E+06 ,    171.763(71) ,        ,   5.8220E+06,   2.4E+03,    171.763,     0.071 ,  0.04
  6,  7s1/2, 3.7032(22)E+06 ,     270.04(16) ,        ,   3.7032E+06,   2.2E+03,     270.04,      0.16 ,  0.06
  7,  8s1/2, 2.4877(15)E+06 ,     401.98(25) ,        ,   2.4877E+06,   1.5E+03,     401.98,      0.25 ,  0.06
  8,  9s1/2, 1.7471(12)E+06 ,     572.38(39) ,        ,   1.7471E+06,   1.2E+03,     572.38,      0.39 ,  0.07
  9, 10s1/2, 1.2817(82)E+06 ,      780.2(50) ,        ,   1.2817E+06,   8.2E+03,      780.2,       5.0 ,  0.64
 10,  2p1/2, 3.68984(90)E+07,    27.102(2)(7), E71    ,   3.6898E+07,   9.0E+03,    27.1020,    0.0070 ,  0.02
 12,  3p1/2, 4.7395(42)E+06 ,     210.99(19) ,        ,   4.7395E+06,   4.2E+03,     210.99,      0.19 ,  0.09
 14,  4p1/2, 2.5781(17)E+06 ,     387.89(26) ,        ,   2.5781E+06,   1.7E+03,     387.89,      0.26 ,  0.07
 16,  5p1/2, 1.6522(11)E+06 ,     605.26(39) ,        ,   1.6522E+06,   1.1E+03,     605.26,      0.39 ,  0.06
 18,  6p1/2, 1.1083(39)E+06 ,      902.3(32) ,        ,   1.1083E+06,   3.9E+03,      902.3,       3.2 ,  0.35
 20,  7p1/2, 7.655(18)E+05  ,     1306.3(30) ,        ,   7.6554E+05,   1.8E+03,     1306.3,       3.0 ,  0.23
 22,  8p1/2, 5.567(77)E+05  ,        1796(25),        ,   5.5672E+05,   7.7E+03,      1796 ,       25  ,  1.38
 24,  9p1/2, 3.992(14)E+05  ,     2504.9(90) ,        ,   3.9922E+05,   1.4E+03,     2504.9,       9.0 ,  0.36
