Mg2 
 Key, State,    Total rate  ,      Lifetime  , Ref.   ,   Total rate ,    Unc   ,   Lifetime,      Unc  , Unc %
  2,  4s1/2, 3.4666(26)E+08 ,     2.8847(21) ,        ,   3.4666E+08,   2.6E+05,     2.8847,    0.0021 ,  0.07
  3,  5s1/2, 1.9913(11)E+08 ,     5.0218(27) ,        ,   1.9913E+08,   1.1E+05,     5.0218,    0.0027 ,  0.05
  4,  6s1/2, 1.14791(53)E+08,     8.7115(40) ,        ,   1.1479E+08,   5.3E+04,     8.7115,    0.0040 ,  0.05
  5,  7s1/2, 7.0493(30)E+07 ,    14.1857(59) ,        ,   7.0493E+07,   3.0E+04,    14.1857,    0.0059 ,  0.04
  6,  8s1/2, 4.5929(18)E+07 ,    21.7726(86) ,        ,   4.5929E+07,   1.8E+04,    21.7726,    0.0086 ,  0.04
  7,  9s1/2, 3.1430(94)E+07 ,     31.817(95) ,        ,   3.1430E+07,   9.4E+04,     31.817,     0.095 ,  0.30
  8, 10s1/2, 2.2387(69)E+07 ,      44.67(14) ,        ,   2.2387E+07,   6.9E+04,      44.67,      0.14 ,  0.31
  9, 11s1/2, 1.648(10)E+07  ,      60.67(37) ,        ,   1.6482E+07,   1.0E+05,      60.67,      0.37 ,  0.61
 10,  3p1/2, 2.5805(26)E+08 ,     3.8753(39) ,        ,   2.5805E+08,   2.6E+05,     3.8753,    0.0039 ,  0.10
 12,  4p1/2, 5.407(31)E+07  ,      18.50(11) ,        ,   5.4069E+07,   3.1E+05,      18.50,      0.11 ,  0.58
 14,  5p1/2, 2.288(42)E+07  ,      43.71(79) ,        ,   2.2879E+07,   4.2E+05,      43.71,      0.79 ,  1.82
 16,  6p1/2, 1.215(30)E+07  ,       82.3(20) ,        ,   1.2149E+07,   3.0E+05,       82.3,       2.0 ,  2.44
 18,  7p1/2, 7.24(20)E+06   ,      138.1(38) ,        ,   7.2419E+06,   2.0E+05,      138.1,       3.8 ,  2.79
 20,  8p1/2, 4.66(14)E+06   ,      214.7(64) ,        ,   4.6569E+06,   1.4E+05,      214.7,       6.4 ,  3.00
 22,  9p1/2, 3.17(10)E+06   ,      315.8(99) ,        ,   3.1662E+06,   1.0E+05,      315.8,       9.9 ,  3.15
 24, 10p1/2, 2.247(73)E+06  ,         445(14),        ,   2.2473E+06,   7.3E+04,       445 ,       14  ,  3.26
 26, 11p1/2, 1.650(55)E+06  ,         606(20),        ,   1.6497E+06,   5.5E+04,       606 ,       20  ,  3.34
 11,  3p3/2, 2.6010(26)E+08 ,     3.8447(38) ,        ,   2.6010E+08,   2.6E+05,     3.8447,    0.0038 ,  0.10
 13,  4p3/2, 5.432(29)E+07  ,      18.41(10) ,        ,   5.4317E+07,   2.9E+05,      18.41,      0.10 ,  0.54
 15,  5p3/2, 2.289(40)E+07  ,      43.69(77) ,        ,   2.2887E+07,   4.0E+05,      43.69,      0.77 ,  1.77
 17,  6p3/2, 1.212(29)E+07  ,       82.5(20) ,        ,   1.2124E+07,   2.9E+05,       82.5,       2.0 ,  2.39
 19,  7p3/2, 7.22(20)E+06   ,      138.6(38) ,        ,   7.2160E+06,   2.0E+05,      138.6,       3.8 ,  2.74
 21,  8p3/2, 4.64(14)E+06   ,      215.7(64) ,        ,   4.6359E+06,   1.4E+05,      215.7,       6.4 ,  2.96
 23,  9p3/2, 3.150(98)E+06  ,      317.5(99) ,        ,   3.1497E+06,   9.8E+04,      317.5,       9.9 ,  3.11
 25, 10p3/2, 2.235(72)E+06  ,         447(14),        ,   2.2348E+06,   7.2E+04,       447 ,       14  ,  3.22
 27, 11p3/2, 1.640(54)E+06  ,         610(20),        ,   1.6396E+06,   5.4E+04,       610 ,       20  ,  3.30
 28,  3d3/2, 4.8283(41)E+08 ,     2.0711(18) ,        ,   4.8283E+08,   4.1E+05,     2.0711,    0.0018 ,  0.09
 30,  4d3/2, 1.281(12)E+08  ,      7.809(72) ,        ,   1.2805E+08,   1.2E+06,      7.809,     0.072 ,  0.92
 32,  5d3/2, 5.071(46)E+07  ,      19.72(18) ,        ,   5.0714E+07,   4.6E+05,      19.72,      0.18 ,  0.91
 34,  6d3/2, 2.535(22)E+07  ,      39.46(35) ,        ,   2.5345E+07,   2.2E+05,      39.46,      0.35 ,  0.89
 36,  7d3/2, 1.462(13)E+07  ,      68.40(59) ,        ,   1.4619E+07,   1.3E+05,      68.40,      0.59 ,  0.86
 38,  8d3/2, 9.271(77)E+06  ,     107.86(89) ,        ,   9.2715E+06,   7.7E+04,     107.86,      0.89 ,  0.83
 40,  9d3/2, 6.284(50)E+06  ,      159.1(13) ,        ,   6.2844E+06,   5.0E+04,      159.1,       1.3 ,  0.80
 42, 10d3/2, 4.473(35)E+06  ,      223.5(17) ,        ,   4.4734E+06,   3.5E+04,      223.5,       1.7 ,  0.78
 44, 11d3/2, 3.306(26)E+06  ,      302.4(24) ,        ,   3.3064E+06,   2.6E+04,      302.4,       2.4 ,  0.80
 29,  3d5/2, 4.8087(48)E+08 ,     2.0796(21) ,        ,   4.8087E+08,   4.8E+05,     2.0796,    0.0021 ,  0.10
 31,  4d5/2, 1.272(14)E+08  ,      7.861(85) ,        ,   1.2720E+08,   1.4E+06,      7.861,     0.085 ,  1.08
 33,  5d5/2, 5.030(54)E+07  ,      19.88(21) ,        ,   5.0302E+07,   5.4E+05,      19.88,      0.21 ,  1.07
 35,  6d5/2, 2.512(26)E+07  ,      39.81(41) ,        ,   2.5117E+07,   2.6E+05,      39.81,      0.41 ,  1.04
 37,  7d5/2, 1.448(14)E+07  ,      69.06(69) ,        ,   1.4481E+07,   1.4E+05,      69.06,      0.69 ,  1.00
 39,  8d5/2, 9.181(88)E+06  ,      108.9(10) ,        ,   9.1813E+06,   8.8E+04,      108.9,       1.0 ,  0.96
 41,  9d5/2, 6.222(58)E+06  ,      160.7(15) ,        ,   6.2223E+06,   5.8E+04,      160.7,       1.5 ,  0.93
 43, 10d5/2, 4.429(40)E+06  ,      225.8(20) ,        ,   4.4288E+06,   4.0E+04,      225.8,       2.0 ,  0.90
 45, 11d5/2, 3.273(29)E+06  ,      305.5(27) ,        ,   3.2732E+06,   2.9E+04,      305.5,       2.7 ,  0.88
