Na1 
 Key, State,    Total rate  ,      Lifetime  , Ref.   ,   Total rate ,    Unc   ,   Lifetime,      Unc  , Unc %
  2,  4s1/2, 2.6305(20)E+07 ,     38.015(28) ,        ,   2.6305E+07,   2.0E+04,     38.015,     0.028 ,  0.07
  3,  5s1/2, 1.28466(69)E+07,     77.841(42) ,        ,   1.2847E+07,   6.9E+03,     77.841,     0.042 ,  0.05
  4,  6s1/2, 6.7451(31)E+06 ,    148.257(68) ,        ,   6.7451E+06,   3.1E+03,    148.257,     0.068 ,  0.05
  5,  7s1/2, 3.9006(16)E+06 ,     256.37(11) ,        ,   3.9006E+06,   1.6E+03,     256.37,      0.11 ,  0.04
  6,  8s1/2, 2.43794(98)E+06,     410.18(17) ,        ,   2.4379E+06,   9.8E+02,     410.18,      0.17 ,  0.04
  7,  9s1/2, 1.61863(64)E+06,     617.81(24) ,        ,   1.6186E+06,   6.4E+02,     617.81,      0.24 ,  0.04
  8, 10s1/2, 1.12697(43)E+06,     887.34(34) ,        ,   1.1270E+06,   4.3E+02,     887.34,      0.34 ,  0.04
  9, 11s1/2, 8.1489(31)E+05 ,    1227.16(47) ,        ,   8.1489E+05,   3.1E+02,    1227.16,      0.47 ,  0.04
 10,  3p1/2, 6.1354(80)E+07 ,      16.299(21), E31    ,   6.1354E+07,   8.0E+04,     16.299,     0.021 ,  0.13
 12,  4p1/2, 9.365(53)E+06  ,     106.78(60) ,        ,   9.3646E+06,   5.3E+04,     106.78,      0.60 ,  0.56
 14,  5p1/2, 2.7142(28)E+06 ,     368.43(38) ,        ,   2.7142E+06,   2.8E+03,     368.43,      0.38 ,  0.10
 16,  6p1/2, 1.0924(11)E+06 ,     915.44(93) ,        ,   1.0924E+06,   1.1E+03,     915.44,      0.93 ,  0.10
 18,  7p1/2, 5.3775(71)E+05 ,     1859.6(25) ,        ,   5.3775E+05,   7.1E+02,     1859.6,       2.5 ,  0.13
