Ra2 
  Keys,,    Transition,,        Wavelength   ,          Matrix el. ,       ,       Br. ratio,     Tran. rate   ,     Wavelength,       Unc  ,  Unc %,  Matrix el.,       Unc  ,   Unc %,      Br. ratio,          Unc  ,   Unc %,  Tran. rate,    Unc  ,  Unc %
  2,   9,  8s1/2,  7p1/2,        453.438(1)  ,          2.5184(57) ,        ,      0.3827(12),  6.892(31)E+07  ,        453.438,       0.001,   0.00,      2.5184,      0.0057,    0.23,         0.3827,         0.0012,    0.30,  6.8917E+07,  3.1E+05,    0.45
  2,  10,  8s1/2,  7p3/2,        581.524(2)  ,          4.6449(45) ,        ,      0.6173(12),  1.1114(21)E+08 ,        581.524,       0.002,   0.00,      4.6449,      0.0045,    0.10,         0.6173,         0.0012,    0.19,  1.1114E+08,  2.1E+05,    0.19
  3,   9,  9s1/2,  7p1/2,        264.453(2)  ,          0.7021(37) ,        ,      0.2512(23),  2.700(28)E+07  ,        264.453,       0.002,   0.00,      0.7021,      0.0037,    0.53,         0.2512,         0.0023,    0.91,  2.7001E+07,  2.8E+05,    1.05
  3,  10,  9s1/2,  7p3/2,        303.431(3)  ,          1.0330(62) ,        ,      0.3600(30),  3.870(47)E+07  ,        303.431,       0.003,   0.00,      1.0330,      0.0062,    0.60,         0.3600,         0.0030,    0.83,  3.8697E+07,  4.7E+05,    1.21
  3,  11,  9s1/2,  8p1/2,        1168.36(5)  ,           5.033(18) ,        ,      0.1497(12),  1.609(11)E+07  ,        1168.36,        0.05,   0.00,       5.033,       0.018,    0.35,         0.1497,         0.0012,    0.79,  1.6091E+07,  1.1E+05,    0.70
  3,  12,  9s1/2,  8p3/2,        1476.39(8)  ,           9.035(13) ,        ,      0.2391(14),  2.5699(77)E+07 ,        1476.39,        0.08,   0.01,       9.035,       0.013,    0.15,         0.2391,         0.0014,    0.57,  2.5699E+07,  7.7E+04,    0.30
  4,   9, 10s1/2,  7p1/2,        219.841(1)  ,          0.3841(22) ,        ,      0.2179(22),  1.407(16)E+07  ,        219.841,       0.001,   0.00,      0.3841,      0.0022,    0.57,         0.2179,         0.0022,    0.99,  1.4065E+07,  1.6E+05,    1.14
  4,  10, 10s1/2,  7p3/2,        246.124(1)  ,          0.5389(32) ,        ,      0.3057(27),  1.973(23)E+07  ,        246.124,       0.001,   0.00,      0.5389,      0.0032,    0.59,         0.3057,         0.0027,    0.89,  1.9731E+07,  2.3E+05,    1.19
  4,  11, 10s1/2,  8p1/2,         616.05(1)  ,          1.2636(60) ,        ,      0.1072(10),  6.918(65)E+06  ,         616.05,        0.01,   0.00,      1.2636,      0.0060,    0.47,         0.1072,         0.0010,    0.98,  6.9184E+06,  6.5E+04,    0.95
  4,  12, 10s1/2,  8p3/2,         692.20(1)  ,           1.770(10) ,        ,      0.1482(16),  9.57(11)E+06   ,         692.20,        0.01,   0.00,       1.770,       0.010,    0.57,         0.1482,         0.0016,    1.08,  9.5688E+06,  1.1E+05,    1.14
  4,  13, 10s1/2,  9p1/2,           2325(9)  , *         8.298(39) ,        ,      0.0859(12),  5.548(81)E+06  ,          2325 ,          9 ,   0.37,       8.298,       0.039,    0.47,         0.0859,         0.0012,    1.42,  5.5480E+06,  8.1E+04,    1.46
  4,  14, 10s1/2,  9p3/2,         2916.9(3)  ,          14.617(26) ,        ,     0.13511(79),  8.722(31)E+06  ,         2916.9,         0.3,   0.01,      14.617,       0.026,    0.18,        0.13511,        0.00079,    0.59,  8.7218E+06,  3.1E+04,    0.36
  5,   9, 11s1/2,  7p1/2,        200.716(1)  ,          0.2577(15) ,        ,      0.2030(20),  8.319(96)E+06  ,        200.716,       0.001,   0.00,      0.2577,      0.0015,    0.58,         0.2030,         0.0020,    1.01,  8.3193E+06,  9.6E+04,    1.16
  5,  10, 11s1/2,  7p3/2,        222.400(1)  ,          0.3545(21) ,        ,      0.2824(25),  1.157(13)E+07  ,        222.400,       0.001,   0.00,      0.3545,      0.0021,    0.58,         0.2824,         0.0025,    0.90,  1.1572E+07,  1.3E+05,    1.16
  5,  11, 11s1/2,  8p1/2,        486.225(9)  ,          0.6661(34) ,        ,     0.09543(97),  3.910(39)E+06  ,        486.225,       0.009,   0.00,      0.6661,      0.0034,    0.50,        0.09543,        0.00097,    1.02,  3.9105E+06,  3.9E+04,    1.01
  5,  12, 11s1/2,  8p3/2,         532.46(1)  ,          0.8879(48) ,        ,      0.1291(14),  5.291(58)E+06  ,         532.46,        0.01,   0.00,      0.8879,      0.0048,    0.55,         0.1291,         0.0014,    1.05,  5.2909E+06,  5.8E+04,    1.09
  5,  13, 11s1/2,  9p1/2,           1158(2)  , *        1.9690(61) ,        ,     0.06170(56),  2.528(21)E+06  ,          1158 ,          2 ,   0.19,      1.9690,      0.0061,    0.31,        0.06170,        0.00056,    0.91,  2.5284E+06,  2.1E+04,    0.83
  5,  14, 11s1/2,  9p3/2,        1288.25(6)  ,           2.668(15) ,        ,     0.08234(93),  3.374(38)E+06  ,        1288.25,        0.06,   0.00,       2.668,       0.015,    0.56,        0.08234,        0.00093,    1.13,  3.3741E+06,  3.8E+04,    1.13
  5,  15, 11s1/2, 10p1/2,          4040(10)  , *        12.286(50) ,        ,     0.05679(78),  2.327(32)E+06  ,          4035 ,         15 ,   0.36,      12.286,       0.050,    0.41,        0.05679,        0.00078,    1.37,  2.3270E+06,  3.2E+04,    1.37
