Ra2 
 Key, State,    Total rate  ,      Lifetime  , Ref.   ,   Total rate ,    Unc   ,   Lifetime,      Unc  , Unc %
  2,  8s1/2, 1.8006(38)E+08 ,      5.554(12) ,        ,   1.8006E+08,   3.8E+05,      5.554,     0.012 ,  0.21
  3,  9s1/2, 1.0749(56)E+08 ,      9.303(49) ,        ,   1.0749E+08,   5.6E+05,      9.303,     0.049 ,  0.52
  4, 10s1/2, 6.455(32)E+07  ,     15.491(78) ,        ,   6.4553E+07,   3.2E+05,     15.491,     0.078 ,  0.50
  5, 11s1/2, 4.098(19)E+07  ,      24.40(11) ,        ,   4.0977E+07,   1.9E+05,      24.40,      0.11 ,  0.47
  6, 12s1/2, 2.7565(81)E+07 ,      36.28(11) ,        ,   2.7565E+07,   8.1E+04,      36.28,      0.11 ,  0.30
  7, 13s1/2, 1.9226(53)E+07 ,      52.01(14) ,        ,   1.9226E+07,   5.3E+04,      52.01,      0.14 ,  0.27
  8, 14s1/2, 1.3906(36)E+07 ,      71.91(19) ,        ,   1.3906E+07,   3.6E+04,      71.91,      0.19 ,  0.26
  9,  7p1/2, 1.130(15)E+08  ,       8.85(12) ,        ,   1.1303E+08,   1.5E+06,       8.85,      0.12 ,  1.36
 11,  8p1/2, 1.934(53)E+07  ,       51.7(14) ,        ,   1.9343E+07,   5.3E+05,       51.7,       1.4 ,  2.75
 13,  9p1/2, 7.7(12)E+06    ,         131(20),        ,   7.6517E+06,   1.2E+06,       131 ,       20  , 15.60
 15, 10p1/2, 4.36(99)E+06   ,         230(52),        ,   4.3571E+06,   9.9E+05,       230 ,       52  , 22.67
 17, 11p1/2, 2.88(74)E+06   ,         348(89),        ,   2.8765E+06,   7.4E+05,       348 ,       89  , 25.65
 19, 12p1/2, 2.04(54)E+06   ,        490(130),        ,   2.0373E+06,   5.4E+05,       491 ,      131  , 26.75
 21, 13p1/2, 1.51(41)E+06   ,        660(180),        ,   1.5062E+06,   4.1E+05,       664 ,      179  , 27.03
 23, 14p1/2, 1.15(31)E+06   ,        870(240),        ,   1.1453E+06,   3.1E+05,       873 ,      236  , 27.02
 10,  7p3/2, 2.096(18)E+08  ,      4.771(41) ,        ,   2.0959E+08,   1.8E+06,      4.771,     0.041 ,  0.87
 12,  8p3/2, 5.18(40)E+07   ,       19.3(15) ,        ,   5.1828E+07,   4.0E+06,       19.3,       1.5 ,  7.64
 14,  9p3/2, 1.92(16)E+07   ,       52.0(44) ,        ,   1.9248E+07,   1.6E+06,       52.0,       4.4 ,  8.55
 16, 10p3/2, 9.05(85)E+06   ,         111(10),        ,   9.0456E+06,   8.5E+05,       111 ,       10  ,  9.37
 18, 11p3/2, 4.94(49)E+06   ,         203(20),        ,   4.9373E+06,   4.9E+05,       203 ,       20  ,  9.99
 20, 12p3/2, 2.99(31)E+06   ,         334(35),        ,   2.9918E+06,   3.1E+05,       334 ,       35  , 10.51
 22, 13p3/2, 1.96(21)E+06   ,         511(56),        ,   1.9568E+06,   2.1E+05,       511 ,       56  , 10.91
 24, 14p3/2, 1.35(15)E+06   ,         739(83),        ,   1.3527E+06,   1.5E+05,       739 ,       83  , 11.25
 27,  7d3/2, 2.258(65)E+08  ,       4.43(13) ,        ,   2.2583E+08,   6.5E+06,       4.43,      0.13 ,  2.89
 29,  8d3/2, 1.253(22)E+08  ,       7.98(14) ,        ,   1.2533E+08,   2.2E+06,       7.98,      0.14 ,  1.77
 31,  9d3/2, 7.28(13)E+07   ,      13.74(24) ,        ,   7.2782E+07,   1.3E+06,      13.74,      0.24 ,  1.76
 33, 10d3/2, 4.519(75)E+07  ,      22.13(37) ,        ,   4.5192E+07,   7.5E+05,      22.13,      0.37 ,  1.65
 35, 11d3/2, 3.025(51)E+07  ,      33.06(56) ,        ,   3.0248E+07,   5.1E+05,      33.06,      0.56 ,  1.69
 37, 12d3/2, 2.128(78)E+07  ,       47.0(17) ,        ,   2.1282E+07,   7.8E+05,       47.0,       1.7 ,  3.68
 39, 13d3/2, 1.548(60)E+07  ,       64.6(25) ,        ,   1.5482E+07,   6.0E+05,       64.6,       2.5 ,  3.85
 28,  7d5/2, 1.983(57)E+08  ,       5.04(15) ,        ,   1.9829E+08,   5.7E+06,       5.04,      0.15 ,  2.88
 30,  8d5/2, 1.053(31)E+08  ,       9.50(28) ,        ,   1.0529E+08,   3.1E+06,       9.50,      0.28 ,  2.93
 32,  9d5/2, 6.02(14)E+07   ,      16.61(38) ,        ,   6.0202E+07,   1.4E+06,      16.61,      0.38 ,  2.29
 34, 10d5/2, 3.685(80)E+07  ,      27.14(59) ,        ,   3.6849E+07,   8.0E+05,      27.14,      0.59 ,  2.18
 36, 11d5/2, 2.45(11)E+07   ,       40.8(18) ,        ,   2.4486E+07,   1.1E+06,       40.8,       1.8 ,  4.39
 38, 12d5/2, 1.705(76)E+07  ,       58.6(26) ,        ,   1.7055E+07,   7.6E+05,       58.6,       2.6 ,  4.46
 40, 13d5/2, 1.241(56)E+07  ,       80.6(36) ,        ,   1.2409E+07,   5.6E+05,       80.6,       3.6 ,  4.48
