  Keys,,    Transition,,        Wavelength   ,          Matrix el. ,       ,       Br. ratio,     Tran. rate   ,     Wavelength,       Unc  ,  Unc %,  Matrix el.,       Unc  ,   Unc %,      Br. ratio,          Unc  ,   Unc %,  Tran. rate,    Unc  ,  Unc %
  2,  10,  6s1/2,  5p1/2,       1323.879(2)  ,          4.1462(82) ,        ,      0.3410(13),  7.506(30)E+06  ,       1323.879,       0.002,   0.00,      4.1462,      0.0082,    0.20,         0.3410,         0.0013,    0.38,  7.5058E+06,  3.0E+04,    0.39
  2,  11,  6s1/2,  5p3/2,       1366.874(2)  ,           6.048(13) ,        ,      0.6590(13),  1.4508(61)E+07 ,       1366.874,       0.002,   0.00,       6.048,       0.013,    0.21,         0.6590,         0.0013,    0.20,  1.4508E+07,  6.1E+04,    0.42
  3,  10,  7s1/2,  5p1/2,       728.2002(5)  ,          0.9529(53) ,        ,      0.2102(21),  2.382(27)E+06  ,       728.2002,      0.0005,   0.00,      0.9529,      0.0053,    0.56,         0.2102,         0.0021,    1.00,  2.3824E+06,  2.7E+04,    1.12
  3,  11,  7s1/2,  5p3/2,       741.0211(6)  ,          1.3498(80) ,        ,      0.4002(30),  4.536(54)E+06  ,       741.0211,      0.0006,   0.00,      1.3498,      0.0080,    0.59,         0.4002,         0.0030,    0.75,  4.5362E+06,  5.4E+04,    1.18
  3,  12,  7s1/2,  6p1/2,        3851.55(2)  ,           9.227(12) ,        ,     0.13318(78),  1.5094(41)E+06 ,        3851.55,        0.02,   0.00,       9.227,       0.012,    0.13,        0.13318,        0.00078,    0.58,  1.5094E+06,  4.1E+03,    0.27
  3,  13,  7s1/2,  6p3/2,        3970.07(2)  ,          13.397(21) ,        ,      0.2564(15),  2.9057(89)E+06 ,        3970.07,        0.02,   0.00,      13.397,       0.021,    0.15,         0.2564,         0.0015,    0.58,  2.9057E+06,  8.9E+03,    0.31
  4,  10,  8s1/2,  5p1/2,       607.2432(4)  ,          0.5023(31) ,        ,      0.1847(21),  1.141(14)E+06  ,       607.2432,      0.0004,   0.00,      0.5023,      0.0031,    0.62,         0.1847,         0.0021,    1.14,  1.1414E+06,  1.4E+04,    1.24
  4,  11,  8s1/2,  5p3/2,       616.1327(4)  ,          0.7078(47) ,        ,      0.3511(33),  2.170(29)E+06  ,       616.1327,      0.0004,   0.00,      0.7078,      0.0047,    0.66,         0.3511,         0.0033,    0.93,  2.1698E+06,  2.9E+04,    1.32
  4,  12,  8s1/2,  6p1/2,       1875.562(5)  ,           1.851(10) ,        ,     0.08514(99),  5.262(59)E+05  ,       1875.562,       0.005,   0.00,       1.851,       0.010,    0.56,        0.08514,        0.00099,    1.17,  5.2620E+05,  5.9E+03,    1.11
  4,  13,  8s1/2,  6p3/2,       1903.230(5)  ,           2.598(16) ,        ,      0.1604(18),  9.91(12)E+05   ,       1903.230,       0.005,   0.00,       2.598,       0.016,    0.60,         0.1604,         0.0018,    1.14,  9.9147E+05,  1.2E+04,    1.19
  4,  14,  8s1/2,  7p1/2,         8252.2(1)  ,           15.99(16) ,        ,      0.0746(14),  4.609(92)E+05  ,         8252.2,         0.1,   0.00,       15.99,        0.16,    1.00,         0.0746,         0.0014,    1.93,  4.6092E+05,  9.2E+03,    2.00
  4,  15,  8s1/2,  7p3/2,         8498.3(1)  ,          23.226(36) ,        ,     0.14408(92),  8.904(27)E+05  ,         8498.3,         0.1,   0.00,      23.226,       0.036,    0.15,        0.14408,        0.00092,    0.64,  8.9044E+05,  2.7E+03,    0.31
  5,  10,  9s1/2,  5p1/2,       558.0332(3)  ,          0.3315(21) ,        ,      0.1745(21),  6.406(82)E+05  ,       558.0332,      0.0003,   0.00,      0.3315,      0.0021,    0.64,         0.1745,         0.0021,    1.18,  6.4061E+05,  8.2E+03,    1.28
  5,  11,  9s1/2,  5p3/2,       565.5313(3)  ,          0.4662(32) ,        ,      0.3315(32),  1.217(17)E+06  ,       565.5313,      0.0003,   0.00,      0.4662,      0.0032,    0.68,         0.3315,         0.0032,    0.97,  1.2172E+06,  1.7E+04,    1.37
  5,  12,  9s1/2,  6p1/2,       1474.067(3)  ,          0.9348(57) ,        ,     0.07527(95),  2.764(34)E+05  ,       1474.067,       0.003,   0.00,      0.9348,      0.0057,    0.61,        0.07527,        0.00095,    1.26,  2.7639E+05,  3.4E+03,    1.22
  5,  13,  9s1/2,  6p3/2,       1491.104(3)  ,          1.3037(86) ,        ,      0.1414(18),  5.194(69)E+05  ,       1491.104,       0.003,   0.00,      1.3037,      0.0086,    0.66,         0.1414,         0.0018,    1.25,  5.1938E+05,  6.9E+03,    1.32
  5,  14,  9s1/2,  7p1/2,        3753.74(2)  ,           2.998(17) ,        ,     0.04689(56),  1.722(19)E+05  ,        3753.74,        0.02,   0.00,       2.998,       0.017,    0.55,        0.04689,        0.00056,    1.19,  1.7216E+05,  1.9E+03,    1.10
  5,  15,  9s1/2,  7p3/2,        3803.84(2)  ,           4.186(25) ,        ,      0.0878(11),  3.225(39)E+05  ,        3803.84,        0.02,   0.00,       4.186,       0.025,    0.60,         0.0878,         0.0011,    1.22,  3.2251E+05,  3.9E+03,    1.20
  5,  16,  9s1/2,  8p1/2,        15058.2(3)  ,          24.582(40) ,        ,     0.04883(31),  1.7929(59)E+05 ,        15058.2,         0.3,   0.00,      24.582,       0.040,    0.16,        0.04883,        0.00031,    0.64,  1.7929E+05,  5.9E+02,    0.33
  5,  17,  9s1/2,  8p3/2,        15498.1(3)  ,          35.570(65) ,        ,     0.09377(61),  3.443(13)E+05  ,        15498.1,         0.3,   0.00,      35.570,       0.065,    0.18,        0.09377,        0.00061,    0.65,  3.4432E+05,  1.3E+03,    0.36
  6,  10, 10s1/2,  5p1/2,       532.3855(3)  ,          0.2429(16) ,        ,      0.1694(20),  3.962(52)E+05  ,       532.3855,      0.0003,   0.00,      0.2429,      0.0016,    0.65,         0.1694,         0.0020,    1.20,  3.9624E+05,  5.2E+03,    1.31
  6,  11, 10s1/2,  5p3/2,       539.2060(3)  ,          0.3413(24) ,        ,      0.3217(32),  7.53(10)E+05   ,       539.2060,      0.0003,   0.00,      0.3413,      0.0024,    0.70,         0.3217,         0.0032,    1.00,  7.5277E+05,  1.0E+04,    1.39
  6,  12, 10s1/2,  6p1/2,       1307.660(2)  ,          0.6059(38) ,        ,     0.07110(92),  1.663(21)E+05  ,       1307.660,       0.002,   0.00,      0.6059,      0.0038,    0.63,        0.07110,        0.00092,    1.29,  1.6635E+05,  2.1E+03,    1.26
  6,  13, 10s1/2,  6p3/2,       1321.049(2)  ,          0.8431(57) ,        ,      0.1335(17),  3.124(42)E+05  ,       1321.049,       0.002,   0.00,      0.8431,      0.0057,    0.68,         0.1335,         0.0017,    1.29,  3.1236E+05,  4.2E+03,    1.36
  6,  14, 10s1/2,  7p1/2,        2835.02(1)  ,          1.4714(90) ,        ,     0.04114(53),  9.63(12)E+04   ,        2835.02,        0.01,   0.00,      1.4714,      0.0090,    0.61,        0.04114,        0.00053,    1.30,  9.6261E+04,  1.2E+03,    1.22
  6,  15, 10s1/2,  7p3/2,        2863.51(1)  ,           2.040(14) ,        ,      0.0768(10),  1.796(24)E+05  ,        2863.51,        0.01,   0.00,       2.040,       0.014,    0.67,         0.0768,         0.0010,    1.35,  1.7964E+05,  2.4E+03,    1.33
  6,  16, 10s1/2,  8p1/2,        6547.11(6)  ,           4.395(25) ,        ,     0.02980(36),  6.972(78)E+04  ,        6547.11,        0.06,   0.00,       4.395,       0.025,    0.56,        0.02980,        0.00036,    1.22,  6.9717E+04,  7.8E+02,    1.12
  6,  17, 10s1/2,  8p3/2,        6628.92(6)  ,           6.116(38) ,        ,     0.05561(72),  1.301(16)E+05  ,        6628.92,        0.06,   0.00,       6.116,       0.038,    0.62,        0.05561,        0.00072,    1.29,  1.3011E+05,  1.6E+03,    1.24
  6,  18, 10s1/2,  9p1/2,        24788.0(9)  ,          34.876(59) ,        ,     0.03458(22),  8.090(27)E+04  ,        24788.0,         0.9,   0.00,      34.876,       0.059,    0.17,        0.03458,        0.00022,    0.65,  8.0902E+04,  2.7E+02,    0.34
  6,  19, 10s1/2,  9p3/2,        25501.0(9)  ,          50.421(95) ,        ,     0.06638(44),  1.5531(58)E+05 ,        25501.0,         0.9,   0.00,      50.421,       0.095,    0.19,        0.06638,        0.00044,    0.66,  1.5531E+05,  5.8E+02,    0.38
