Rb1 
 Key, State,    Total rate  ,      Lifetime  , Ref.   ,   Total rate ,    Unc   ,   Lifetime,      Unc  , Unc %
  2,  6s1/2, 2.2014(68)E+07 ,       45.57(17), E40    ,   2.2014E+07,   6.8E+04,      45.57,      0.17 ,  0.31
  3,  7s1/2, 1.1334(61)E+07 ,      88.23(47) ,        ,   1.1334E+07,   6.1E+04,      88.23,      0.47 ,  0.54
  4,  8s1/2, 6.180(36)E+06  ,     161.81(94) ,        ,   6.1802E+06,   3.6E+04,     161.81,      0.94 ,  0.58
  5,  9s1/2, 3.672(21)E+06  ,      272.3(15) ,        ,   3.6719E+06,   2.1E+04,      272.3,       1.5 ,  0.56
  6, 10s1/2, 2.340(13)E+06  ,      427.4(24) ,        ,   2.3397E+06,   1.3E+04,      427.4,       2.4 ,  0.56
  7, 11s1/2, 1.5760(87)E+06 ,      634.5(35) ,        ,   1.5760E+06,   8.7E+03,      634.5,       3.5 ,  0.55
  8, 12s1/2, 1.1091(63)E+06 ,      901.6(51) ,        ,   1.1091E+06,   6.3E+03,      901.6,       5.1 ,  0.57
  9, 13s1/2, 8.201(23)E+05  ,     1219.4(35) ,        ,   8.2005E+05,   2.3E+03,     1219.4,       3.5 ,  0.28
 10,  5p1/2, 3.6096(51)E+07 ,        27.70(4), E31    ,   3.6096E+07,   5.1E+04,     27.700,     0.040 ,  0.14
 12,  6p1/2, 8.15(23)E+06   ,      122.8(35) ,        ,   8.1459E+06,   2.3E+05,      122.8,       3.5 ,  2.85
 14,  7p1/2, 3.60(10)E+06   ,      277.5(80) ,        ,   3.6033E+06,   1.0E+05,      277.5,       8.0 ,  2.88
 16,  8p1/2, 1.981(39)E+06  ,      504.7(98) ,        ,   1.9814E+06,   3.9E+04,      504.7,       9.8 ,  1.95
 18,  9p1/2, 1.220(19)E+06  ,         820(13),        ,   1.2198E+06,   1.9E+04,       820 ,       13  ,  1.54
 20, 10p1/2, 8.06(11)E+05   ,        1240(17),        ,   8.0629E+05,   1.1E+04,      1240 ,       17  ,  1.34
 22, 11p1/2, 5.610(70)E+05  ,        1782(22),        ,   5.6103E+05,   7.0E+03,      1782 ,       22  ,  1.24
 24, 12p1/2, 4.063(48)E+05  ,        2461(29),        ,   4.0628E+05,   4.8E+03,      2461 ,       29  ,  1.18
 26, 13p1/2, 3.029(38)E+05  ,        3302(41),        ,   3.0288E+05,   3.8E+03,      3302 ,       41  ,  1.25
 11,  5p3/2, 3.8109(64)E+07 ,        26.24(4), E31    ,   3.8109E+07,   6.4E+04,     26.240,     0.040 ,  0.17
 13,  6p3/2, 8.83(21)E+06   ,      113.2(27) ,        ,   8.8346E+06,   2.1E+05,      113.2,       2.7 ,  2.40
 15,  7p3/2, 3.920(97)E+06  ,      255.1(63) ,        ,   3.9202E+06,   9.7E+04,      255.1,       6.3 ,  2.48
 17,  8p3/2, 2.140(37)E+06  ,      467.4(81) ,        ,   2.1396E+06,   3.7E+04,      467.4,       8.1 ,  1.74
 19,  9p3/2, 1.312(18)E+06  ,         762(11),        ,   1.3117E+06,   1.8E+04,       762 ,       11  ,  1.41
 21, 10p3/2, 8.64(11)E+05   ,        1157(14),        ,   8.6426E+05,   1.1E+04,      1157 ,       14  ,  1.25
 23, 11p3/2, 6.002(70)E+05  ,        1666(20),        ,   6.0022E+05,   7.0E+03,      1666 ,       20  ,  1.17
 25, 12p3/2, 4.340(48)E+05  ,        2304(26),        ,   4.3401E+05,   4.8E+03,      2304 ,       26  ,  1.12
 27, 13p3/2, 3.233(37)E+05  ,        3094(36),        ,   3.2325E+05,   3.7E+03,      3094 ,       36  ,  1.16
 28,  4d3/2, 1.1984(63)E+07 ,      83.44(44) ,        ,   1.1984E+07,   6.3E+04,      83.44,      0.44 ,  0.52
 30,  5d3/2, 4.11(24)E+06   ,      246.3(1.6), E43    ,   4.1074E+06,   2.4E+05,      246.3,       1.6 ,  5.95
 32,  6d3/2, 3.80(17)E+06   ,          256(4), E41    ,   3.7996E+06,   1.7E+05,      256.0,       4.0 ,  4.53
 34,  7d3/2, 2.887(95)E+06  ,         346(11),        ,   2.8867E+06,   9.5E+04,       346 ,       11  ,  3.27
 36,  8d3/2, 2.092(54)E+06  ,         478(12),        ,   2.0917E+06,   5.4E+04,       478 ,       12  ,  2.60
 38,  9d3/2, 1.520(33)E+06  ,         658(14),        ,   1.5197E+06,   3.3E+04,       658 ,       14  ,  2.19
 40, 10d3/2, 1.123(21)E+06  ,         890(17),        ,   1.1234E+06,   2.1E+04,       890 ,       17  ,  1.90
 42, 11d3/2, 8.72(37)E+05   ,        1146(49),        ,   8.7240E+05,   3.7E+04,      1146 ,       49  ,  4.24
 44, 12d3/2, 6.70(24)E+05   ,        1493(54),        ,   6.6968E+05,   2.4E+04,      1493 ,       54  ,  3.61
 29,  4d5/2, 1.1138(76)E+07 ,      89.78(61) ,        ,   1.1138E+07,   7.6E+04,      89.78,      0.61 ,  0.68
 31,  5d5/2, 4.26(30)E+06   ,      238.5(2.3), E43    ,   4.2582E+06,   3.0E+05,      238.5,       2.3 ,  6.94
 33,  6d5/2, 3.96(20)E+06   ,          249(5), E41    ,   3.9633E+06,   2.0E+05,      249.0,       5.0 ,  5.02
 35,  7d5/2, 3.00(11)E+06   ,         333(12),        ,   2.9993E+06,   1.1E+05,       333 ,       12  ,  3.58
 37,  8d5/2, 2.167(61)E+06  ,         461(13),        ,   2.1674E+06,   6.1E+04,       461 ,       13  ,  2.82
 39,  9d5/2, 1.572(37)E+06  ,         636(15),        ,   1.5722E+06,   3.7E+04,       636 ,       15  ,  2.37
 41, 10d5/2, 1.161(24)E+06  ,         861(18),        ,   1.1609E+06,   2.4E+04,       861 ,       18  ,  2.05
 43, 11d5/2, 8.99(41)E+05   ,        1113(51),        ,   8.9881E+05,   4.1E+04,      1113 ,       51  ,  4.57
 45, 12d5/2, 6.90(27)E+05   ,        1450(57),        ,   6.8960E+05,   2.7E+04,      1450 ,       57  ,  3.90
