Ra+,,,,,,,,,,,,,,,,
Metastable state properties: 6d3/2 and 6d5/2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Property,Theory,,,,,,,,,,,,,,
6d3/2,Lifetime,0.6382(94) s,,,,,,,,,,,,,,
6d5/2,Lifetime,0.3028(37) s,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Transition,Wavelength (nm),Matrix element,Units,Transition rate (s-1),Branching ratio,,,,,,,,,
6d3/2,7s1/2,E2,827.522,14.74(11),a.u.,1.567(23),1,,,,,,,,,
6d5/2,7s1/2,E2,727.644,18.85(11),a.u.,3.253(39),0.98505,,,,,,,,,
6d5/2,6d3/2,M1,6028.8,1.551,mB,0.0494,0.01495,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
