Sr+,,,,,,,,,,,,,,,,,
Metastable state properties: 4d3/2 and 4d5/2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Property,Theory,Theory Ref.,Expt. ,Expt. Ref.,,,,,,,,,,,,
4d3/2,Lifetime,0.4410(26) s,,,,,,,,,,,,,,,
4d5/2,Lifetime,0.3945(23) s,,,,,,,,,,,,,,,
4d3/2,Quadrupole moment,2.029(12) a.u.,Ref2,,,,,,,,,,,,,,
4d5/2,Quadrupole moment, 2.935(17) a.u.,Ref2,2.973(+0.026)(−0.033),Ref3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Transition,Wavelength (nm),Matrix element,Units,Transition rate (s-1),Branching ratio,,,,,,,,,,
4d3/2,5s1/2,E2,687.0066,11.133(33),a.u.,2.267(14),1,,,,,,,,,,
4d5/2,5s1/2,E2,674.0252,13.745(40),a.u.,2.535(15),0.9999062,,,,,,,,,,
4d5/2,4d3/2,M1,35671,1.549,mB,2.377E-04,0.0000938,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
